"Date/Time","Internal Natural vent.","Mech Vent + Nat Vent + Infiltration","External Infiltration","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Miscellaneous","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","ac/h","kW","%","","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","-3.671149","0.4950853","-23.94405","33.88095","-0.6860442","0","0","2.034616","17.75364","0","0","-20.43045","19.53053","20.48362","20.00707","2.034618","0","35.63071","0","0","33.59609","9.0625",
"01.01.2002 02:00:00","-3.820081","0.4957345","-24.48698","34.60011","-0.7315523","1.019177","0","2.034616","17.95456","0","0","-19.78032","19.33197","20.35321","19.84259","2.034618","0","35.63071","1.199032","1.199032","33.59609","8.675",
"01.01.2002 03:00:00","-3.772141","0.4983014","-25.0722","34.98511","-0.750678","2.692714","0","2.034616","18.02605","0","0.0294173","-18.3576","19.2453","20.26305","19.75418","2.034618","0","35.63071","3.167899","3.167899","33.59609","8.475",
"01.01.2002 04:00:00","-3.717408","0.4999475","-25.46463","34.94236","-0.7673121","3.848298","0","2.034616","18.07902","0","0.7083367","-18.01808","19.17874","20.19123","19.68498","2.034618","0","35.63071","4.52741","4.52741","33.59609","8.3375",
"01.01.2002 05:00:00","-3.660026","0.5008879","-25.7253","34.7519","-0.7816958","4.717444","0","2.034616","18.11942","0","1.545915","-18.07626","19.12575","20.12966","19.6277","2.034618","0","35.63071","5.549934","5.549934","33.59609","8.2375",
"01.01.2002 06:00:00","-0.177933","0.5273421","-35.44905","30.75934","-0.6088344","85.30067","0","2.034616","17.0488","0","64.24332","-6.764987","20.99637","20.20667","20.60152","2.034618","0","35.63071","100.3537","100.3537","33.59609","8.1375",
"01.01.2002 07:00:00","-0.74882","0.4896881","-36.36111","30.21626","-0.5042974","32.20888","95.62695","10.17308","13.25064","0","22.02921","-10.30736","21.23012","20.48635","20.85823","10.17308","95.62695","132.6769","37.8928","37.8928","26.87687","8.1",
"01.01.2002 08:00:00","-0.813829","0.4478239","-36.55944","29.80985","-0.4873802","36.02749","47.81348","20.34616","9.893709","0","26.82326","-6.168523","21.24095","20.54676","20.89385","20.34616","47.81348","88.31729","42.38528","42.38528","20.15765","8.1",
"01.01.2002 09:00:00","-0.672936","0.3998849","-35.72089","29.39297","-0.4926952","37.88831","47.81348","10.17308","6.61355","7.232486","31.25052","-3.479881","21.20005","20.5859","20.89297","10.17308","47.81348","71.42499","44.57448","44.57448","13.43843","8.225",
"01.01.2002 10:00:00","-0.736854","0.3846685","-31.64578","29.08209","-0.4781871","29.60313","47.81348","10.17308","6.609053","26.36025","23.58653","-3.438986","21.23407","20.73063","20.98235","10.17308","47.81348","71.42499","34.82721","34.82721","13.43843","9.1125",
"01.01.2002 11:00:00","-0.824854","0.3664737","-26.626","28.90368","-0.461008","21.0513","47.81348","10.17308","6.591925","32.26944","16.74984","-4.224863","21.28197","20.84265","21.06231","10.17308","47.81348","71.42499","24.76624","24.76624","13.43843","10.35",
"01.01.2002 12:00:00","-1.189834","0.3939976","-22.47778","28.49496","-0.4365455","12.08565","47.81348","20.34616","9.832719","38.45481","8.379398","-7.924253","21.4282","20.96143","21.19482","20.34616","47.81348","88.31729","14.21842","14.21842","20.15765","11.4875",
"01.01.2002 13:00:00","-1.352557","0.4259332","-19.62564","28.4651","-0.410149","8.642387","47.81348","20.34616","13.02206","41.57101","4.477797","-10.17176","21.52639","21.05913","21.29276","20.34616","47.81348","95.03651","10.16751","10.16751","26.87687","12.3375",
"01.01.2002 14:00:00","-1.163598","0.374576","-18.02422","28.66747","-0.4073624","9.250436","47.81348","10.17308","9.770706","37.40843","6.050416","-6.971849","21.48065","21.08539","21.28302","10.17308","47.81348","78.14421","10.88287","10.88287","20.15765","12.7875",
"01.01.2002 15:00:00","-1.053998","0.3271692","-17.49039","28.62524","-0.4196547","9.218642","47.81348","10.17308","6.529741","23.94328","7.11435","-4.566904","21.45193","21.02514","21.23853","10.17308","47.81348","71.42499","10.84546","10.84546","13.43843","12.9",
"01.01.2002 16:00:00","-0.978351","0.3306251","-18.38436","28.71325","-0.4314043","10.77555","47.81348","10.17308","6.541648","14.40977","8.588281","-4.692988","21.40538","20.9567","21.18104","10.17308","47.81348","71.42499","12.67711","12.67711","13.43843","12.5875",
"01.01.2002 17:00:00","-1.105027","0.3838566","-20.50447","29.13651","-0.4388435","11.09646","47.81348","20.34616","9.817035","1.784263","7.570028","-7.545557","21.42073","20.87659","21.14866","20.34616","47.81348","88.31729","13.05466","13.05466","20.15765","11.9625",
"01.01.2002 18:00:00","-1.046707","0.4364759","-22.36291","30.05941","-0.4408305","13.57298","47.81348","20.34616","13.10566","0","8.604582","-10.51687","21.36998","20.84134","21.10566","20.34616","47.81348","95.03651","15.96821","15.96821","26.87687","11.45",
"01.01.2002 19:00:00","-1.81985","0.4467241","-24.19849","30.36395","-0.4101987","8.145506","95.62695","20.34616","13.01047","0","4.151797","-12.40469","21.61612","20.92369","21.26991","20.34616","95.62695","142.85","9.582948","9.582948","26.87687","11.1125",
"01.01.2002 20:00:00","-2.258536","0.4561952","-25.81401","30.63978","-0.3775685","9.145555","95.62695","20.34616","12.88943","0","4.662198","-12.53183","21.70963","21.00054","21.35509","20.34616","95.62695","142.85","10.75948","10.75948","26.87687","10.8125",
"01.01.2002 21:00:00","-2.102589","0.4601806","-26.84891","31.13788","-0.3791531","12.7424","95.62695","10.17308","12.92829","0","7.287888","-11.88487","21.61654","21.03059","21.32356","10.17308","95.62695","132.6769","14.99106","14.99106","26.87687","10.5125",
