"Date/Time","Internal Natural vent.","Mech Vent + Nat Vent + Infiltration","External Infiltration","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Miscellaneous","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","ac/h","kW","%","","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","-6.286454","0.6398162","-60.1445","34.47922","-0.8894561","25.0059","0","3.469225","31.3997","0","15.35851","-22.22778","18.64398","19.58118","19.11258","3.469224","0","60.75394","29.41871","29.41871","57.28472","9.0625",
"01.01.2002 02:00:00","-5.01153","0.6416149","-62.87309","35.18613","-0.9327233","31.70986","0","3.469225","31.64782","0","21.37019","-22.38635","18.51202","19.42921","18.97062","3.469224","0","60.75394","37.30571","37.30571","57.28472","8.675",
"01.01.2002 03:00:00","-4.332709","0.6464504","-64.81966","35.72243","-0.9507623","36.09862","0","3.469225","31.74588","0","25.54552","-22.57827","18.4358","19.32584","18.88082","3.469224","0","60.75394","42.46897","42.46897","57.28472","8.475",
"01.01.2002 04:00:00","-3.765385","0.6494914","-66.12749","35.72623","-0.9672968","39.15823","0","3.469225","31.82224","0","28.45575","-22.68511","18.37585","19.24041","18.80813","3.469224","0","60.75394","46.06851","46.06851","57.28472","8.3375",
"01.01.2002 05:00:00","-3.259697","0.6509385","-66.96792","35.49796","-0.9827989","41.52107","0","3.469225","31.88365","0","30.69234","-22.72298","18.32605","19.16362","18.74484","3.469224","0","60.75394","48.84832","48.84832","57.28472","8.2375",
"01.01.2002 06:00:00","0.12029","0.7161788","-99.52473","29.97389","-0.7396598","285.4362","0","3.469225","29.33827","0","237.7889","-3.384411","20.94626","19.27438","20.11032","3.469224","0","60.75394","335.8072","335.8072","57.28472","8.1375",
"01.01.2002 07:00:00","-0.0095","0.6785616","-101.1341","29.78501","-0.6195116","131.8122","163.0536","17.34613","22.78586","0","108.2184","-10.71016","21.00103","19.59431","20.29767","17.34613","163.0536","226.2275","155.0732","155.0732","45.82777","8.1",
"01.01.2002 08:00:00","-0.000085","0.636057","-101.2379","29.3722","-0.6160475","141.6776","81.5268","34.69225","17.08869","0","120.148","-4.188112","21.00001","19.64728","20.32364","34.69225","81.5268","150.5899","166.6795","166.6795","34.37083","8.1",
"01.01.2002 09:00:00","0","0.5875947","-99.18344","28.88151","-0.6125222","144.0737","81.5268","17.34613","11.39298","11.98879","127.6157","-0.5228343","21","19.71247","20.35623","17.34613","81.5268","121.7868","169.4985","169.4985","22.91389","8.225",
"01.01.2002 10:00:00","-0.114456","0.5634567","-87.91201","28.68573","-0.5856209","111.6581","81.5268","17.34613","11.39015","31.79674","100.697","-4.864104","21.01218","19.98562","20.4989","17.34613","81.5268","121.7868","131.3624","131.3624","22.91389","9.1125",
"01.01.2002 11:00:00","-0.480511","0.5330975","-73.76961","28.60138","-0.5651997","88.64796","81.5268","17.34613","11.3676","46.93029","79.21305","-4.799786","21.0583","20.13587","20.59708","17.34613","81.5268","121.7868","104.2917","104.2917","22.91389","10.35",
"01.01.2002 12:00:00","-1.127707","0.547752","-61.7406","28.30556","-0.5430617","60.56954","81.5268","34.69225","16.98657","54.4412","47.9984","-6.682013","21.14393","20.26925","20.70659","34.69225","81.5268","150.5899","71.25829","71.25829","34.37083","11.4875",
"01.01.2002 13:00:00","-1.128517","0.5671563","-53.04983","28.39008","-0.5380322","53.17311","81.5268","34.69225","22.61293","65.21411","38.79222","-9.04835","21.15002","20.27899","20.71451","34.69225","81.5268","162.0468","62.55659","62.55659","45.82777","12.3375",
"01.01.2002 14:00:00","-0.747455","0.510576","-48.54581","28.53568","-0.5436955","58.16248","81.5268","17.34613","16.9926","54.87083","47.25195","-5.667194","21.10253","20.2631","20.68282","17.34613","81.5268","133.2438","68.42645","68.42645","34.37083","12.7875",
"01.01.2002 15:00:00","-0.547362","0.4622291","-47.19484","28.47166","-0.5563917","59.82655","81.5268","17.34613","11.34725","52.7763","52.65104","-3.694755","21.07744","20.18395","20.6307","17.34613","81.5268","121.7868","70.38418","70.38418","22.91389","12.9",
"01.01.2002 16:00:00","-0.453482","0.4676494","-49.70573","28.56352","-0.5618617","64.15951","81.5268","17.34613","11.35511","38.4938","56.70045","-3.814847","21.06367","20.14825","20.60596","17.34613","81.5268","121.7868","75.48177","75.48177","22.91389","12.5875",
"01.01.2002 17:00:00","-0.53482","0.5279847","-55.8075","29.12506","-0.5705331","67.06448","81.5268","34.69225","17.03281","3.670151","55.03801","-6.155404","21.07223","20.03848","20.55536","34.69225","81.5268","150.5899","78.8994","78.8994","34.37083","11.9625",
"01.01.2002 18:00:00","-0.421284","0.5864943","-61.2069","30.09868","-0.5703264","75.86671","81.5268","34.69225","22.71999","0","58.92225","-8.615097","21.05392","19.99942","20.52667","34.69225","81.5268","162.0468","89.25495","89.25495","45.82777","11.45",
"01.01.2002 19:00:00","-1.341003","0.6005345","-65.50684","30.67556","-0.5477012","55.08833","163.0536","34.69225","22.64125","0","39.79962","-11.46869","21.16732","20.08627","20.62679","34.69225","163.0536","243.5736","64.80981","64.80981","45.82777","11.1125",
"01.01.2002 20:00:00","-1.70901","0.613345","-69.49212","30.99223","-0.5292276","55.92113","163.0536","34.69225","22.56003","0","39.73598","-11.46639","21.20213","20.15488","20.6785","34.69225","163.0536","243.5736","65.78957","65.78957","45.82777","10.8125",
"01.01.2002 21:00:00","-1.412934","0.6210256","-72.74937","31.29714","-0.5276584","67.98313","163.0536","17.34613","22.58892","0","49.38165","-9.741601","21.16237","20.18476","20.67356","17.34613","163.0536","226.2275","79.98015","79.98015","45.82777","10.5125",
"01.01.2002 22:00:00","-1.261361","0.6721376","-76.12228","31.39956","-0.5285308","73.70443","163.0536","17.34613","28.27878","0","49.79536","-12.44586","21.14298","20.20507","20.67402","17.34613","163.0536","237.6844","86.7111","86.7111","57.28472","10.2125",
"01.01.2002 23:00:00","-0.100692","0.6788584","-79.35429","31.18089","-0.5599325","140.504","0","17.34613","28.43314","0","105.7986","-2.136396","21.00856","20.03521","20.52188","17.34613","0","74.63084","165.2988","165.2988","57.28472","9.9125",
"02.01.2002","-7.898031","0.6571415","-63.25481","33.26061","-0.7165019","8.266091","0","3.469225","30.1838","0","5.85342","-30.46465","19.49518","19.81578","19.65548","3.469224","0","60.75394","9.724813","9.724813","57.28472","9.6125",
"02.01.2002 01:00:00","-6.224707","0.6402326","-59.22611","34.01324","-0.8921943","24.12745","0","3.469225","31.40485","0","14.72572","-22.03758","18.64147","19.57211","19.10679","3.469224","0","60.75394","28.38524","28.38524","57.28472","9.1875",
"02.01.2002 02:00:00","-5.003224","0.6480622","-63.46996","33.34108","-0.9417687","32.25138","0","3.469225","31.65147","0","21.94381","-22.33045","18.50509","19.41707","18.96108","3.469224","0","60.75394","37.94281","37.94281","57.28472","8.6875",
"02.01.2002 03:00:00","-4.227227","0.6576346","-68.14443","32.76291","-0.9696221","39.38016","0","3.469225","31.77374","0","28.51773","-23.10946","18.40761","19.30698","18.85729","3.469224","0","60.75394","46.32959","46.32959","57.28472","8.1875",
"02.01.2002 04:00:00","-3.525248","0.664473","-71.69843","32.54096","-0.991361","45.01108","0","3.469225","31.87199","0","33.44663","-23.39706","18.33128","19.21444","18.77286","3.469224","0","60.75394","52.9542","52.9542","57.28472","7.8125",
"02.01.2002 05:00:00","-2.85341","0.6697736","-74.63095","32.5325","-1.007378","50.78709","0","3.469225","31.93828","0","37.57156","-22.57973","18.28182","19.13275","18.70728","3.469224","0","60.75394","59.74952","59.74952","57.28472","7.5125",
"02.01.2002 06:00:00","0.170909","0.7422291","-111.6647","27.79134","-0.7580177","303.7335","0","3.469225","29.35168","0","252.551","-3.12628","20.94187","19.24363","20.09275","3.469224","0","60.75394","357.3334","357.3334","57.28472","7.2125",
"02.01.2002 07:00:00","-0.000001","0.7097086","-116.1067","27.97116","-0.6340314","152.3676","163.0536","17.34613","22.78596","0","124.6248","-9.540484","21","19.56279","20.28139","17.34613","163.0536","226.2275","179.2559","179.2559","45.82777","6.975",
"02.01.2002 08:00:00","0","0.6724916","-119.0342","27.86165","-0.6289165","165.243","81.5268","34.69225","17.08947","0","139.5551","-2.663666","21","19.61317","20.30659","34.69225","81.5268","150.5899","194.4035","194.4035","34.37083","6.775",
"02.01.2002 09:00:00","0","0.6314734","-120.1039","27.31556","-0.6308686","174.4292","81.5268","17.34613","11.39298","3.483301","155.4406","0","21","19.61939","20.30969","17.34613","81.5268","121.7868","205.2108","205.2108","22.91389","6.7",
"02.01.2002 10:00:00","0","0.6241317","-116.9081","26.73226","-0.6298973","167.5826","81.5268","17.34613","11.39298","18.52563","148.8305","0","21","19.6679","20.33395","17.34613","81.5268","121.7868","197.156","197.156","22.91389","6.8875",
"02.01.2002 11:00:00","0","0.6119888","-111.3098","26.77794","-0.6237949","157.1032","81.5268","17.34613","11.39298","32.20579","138.8228","0","21","19.73311","20.36655","17.34613","81.5268","121.7868","184.8273","184.8273","22.91389","7.25",
"02.01.2002 12:00:00","0","0.6473274","-107.4196","27.30267","-0.6161798","140.6739","81.5268","34.69225","17.08947","35.71774","119.5066","-5.713084","21","19.78511","20.39256","34.69225","81.5268","150.5899","165.4987","165.4987","34.37083","7.525",
"02.01.2002 13:00:00","0","0.6911434","-106.9081","28.15132","-0.6106243","144.7424","81.5268","34.69225","22.78596","28.4552","115.9659","-6.859311","21","19.79104","20.39552","34.69225","81.5268","162.0468","170.2852","170.2852","45.82777","7.6",
"02.01.2002 14:00:00","0","0.6497427","-107.2948","28.55276","-0.6083683","154.7218","81.5268","17.34613","17.08947","26.01876","128.6471","-0.6454626","21","19.78121","20.39061","17.34613","81.5268","133.2438","182.0257","182.0257","34.37083","7.6",
"02.01.2002 15:00:00","0","0.6058642","-107.6949","28.66251","-0.6092252","151.3154","81.5268","17.34613","11.39298","21.60249","133.4111","0","21","19.76548","20.38274","17.34613","81.5268","121.7868","178.0181","178.0181","22.91389","7.5375",
"02.01.2002 16:00:00","0","0.6074806","-108.8668","28.94613","-0.611376","155.0121","81.5268","17.34613","11.39298","11.7096","136.9697","0","21","19.73095","20.36548","17.34613","81.5268","121.7868","182.3672","182.3672","22.91389","7.4375",
"02.01.2002 17:00:00","0","0.6567079","-111.9865","29.4139","-0.6125292","152.2255","81.5268","34.69225","17.08947","1.35609","127.9489","-3.236639","21","19.69555","20.34777","34.69225","81.5268","150.5899","179.0889","179.0889","34.37083","7.2125",
"02.01.2002 18:00:00","0","0.7073052","-116.5779","30.30362","-0.609674","163.9086","81.5268","34.69225","22.78596","0","130.2563","-4.028407","21","19.68167","20.34084","34.69225","81.5268","162.0468","192.8337","192.8337","45.82777","6.85",
"02.01.2002 19:00:00","-0.060739","0.7206066","-123.4258","31.60098","-0.6002928","144.0076","163.0536","34.69225","22.77919","0","117.8535","-12.77168","21.00613","19.68944","20.34778","34.69225","163.0536","243.5736","169.4207","169.4207","45.82777","6.3875",
"02.01.2002 20:00:00","-0.115369","0.7281508","-126.7583","32.20193","-0.5905139","144.778","163.0536","34.69225","22.78163","0","118.3433","-12.98748","21.01163","19.74034","20.37599","34.69225","163.0536","243.5736","170.327","170.327","45.82777","6.2",
"02.01.2002 21:00:00","-0.045414","0.7295389","-128.7244","32.57173","-0.5807296","152.2021","163.0536","17.34613","22.77285","0","124.7854","-12.51668","21.00412","19.81093","20.40753","17.34613","163.0536","226.2275","179.0613","179.0613","45.82777","6.0125",
"02.01.2002 22:00:00","0","0.7770897","-132.3699","33.86343","-0.5743215","162.5434","163.0536","17.34613","28.48245","0","125.3219","-13.71814","21","19.82673","20.41337","17.34613","163.0536","237.6844","191.2276","191.2276","57.28472","5.7125",
"02.01.2002 23:00:00","0","0.7882586","-137.6943","35.16537","-0.5829581","243.3632","0","17.34613","28.48245","0","191.4469","0","21","19.65821","20.3291","17.34613","0","74.63084","286.3097","286.3097","57.28472","5.4125",
"03.01.2002","-9.657419","0.7577731","-111.9598","40.33735","-0.7778763","56.79937","0","3.469225","30.70723","0","44.94941","-34.25512","18.96786","19.39264","19.18025","3.469224","0","60.75394","66.82279","66.82279","57.28472","5.1125",
"03.01.2002 01:00:00","-2.507453","0.7357054","-106.4433","42.22639","-0.9608305","85.91593","0","3.469225","31.9584","0","63.27747","-21.59888","18.2166","19.1066","18.6616","3.469224","0","60.75394","101.0776","101.0776","57.28472","4.9375",
"03.01.2002 02:00:00","-1.717589","0.7338597","-106.3896","42.18037","-0.9932989","93.7961","0","3.469225","32.0798","0","68.31683","-18.7118","18.16655","18.95098","18.55876","3.469224","0","60.75394","110.3484","110.3484","57.28472","4.9",
"03.01.2002 03:00:00","-1.423617","0.7342615","-107.0184","42.07788","-1.008426","99.77979","0","3.469225","32.11558","0","72.27372","-16.79386","18.13805","18.84689","18.49247","3.469224","0","60.75394","117.388","117.388","57.28472","4.8375",
"03.01.2002 04:00:00","-1.200319","0.7341748","-107.3447","41.9592","-1.020726","104.2512","0","3.469225","32.14256","0","75.27987","-15.37898","18.11648","18.76195","18.43922","3.469224","0","60.75394","122.6484","122.6484","57.28472","4.8",
