"Date/Time","Internal Natural vent.","Mech Vent + Nat Vent + Infiltration","External Infiltration","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Computer + Equip","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","ac/h","kW","%","","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","0","0.6208994","-8.074511","35.34003","-1.670698","12.88299","0","0","0","0","12.88299","0","17","16.35877","16.67939","0","0","0","15.15646","15.15646","0","9.0625",
"01.01.2002 02:00:00","0","0.6376802","-8.703107","36.11166","-1.676117","13.89392","0","0","0","0","13.89392","0","17","16.284","16.642","0","0","0","16.34579","16.34579","0","8.675",
"01.01.2002 03:00:00","0","0.6533265","-9.130732","36.88707","-1.679333","14.6763","0","0","0","0","14.6763","0","17","16.21303","16.60651","0","0","0","17.26624","17.26624","0","8.475",
"01.01.2002 04:00:00","0","0.663286","-9.418716","36.91601","-1.685552","15.29513","0","0","0","0","15.29513","0","17","16.14523","16.57261","0","0","0","17.99428","17.99428","0","8.3375",
"01.01.2002 05:00:00","0","0.6690584","-9.610075","36.53341","-1.693938","15.81292","0","0","0","0","15.81292","0","17","16.08021","16.54011","0","0","0","18.60344","18.60344","0","8.2375",
"01.01.2002 06:00:00","0","0.6721551","-9.764413","36.09571","-1.703342","16.30549","0","0","0","0","16.30549","0","17","16.01361","16.50681","0","0","0","19.18293","19.18293","0","8.1375",
"01.01.2002 07:00:00","0","0.6742393","-9.836033","35.91383","-1.710724","16.68001","0","0","0","0","16.68002","0","17","15.95347","16.47674","0","0","0","19.62355","19.62355","0","8.1",
"01.01.2002 08:00:00","0","0.6757014","-9.857206","35.56041","-1.718783","17.03676","0","0","0","0","17.03676","0","17","15.89113","16.44556","0","0","0","20.04325","20.04325","0","8.1",
"01.01.2002 09:00:00","0","0.6671196","-9.595829","35.22219","-1.705072","15.92854","0","0","0","7.608195","15.92854","0","17","16.03831","16.51916","0","0","0","18.73946","18.73946","0","8.225",
"01.01.2002 10:00:00","-0.010325","0.6195192","-8.024682","35.30285","-1.589488","8.230642","0","0","0","36.91673","8.230641","0","17.01476","17.11857","17.06666","0","0","0","9.683109","9.683109","0","9.1125",
"01.01.2002 11:00:00","-0.264516","0.566608","-6.241299","34.97734","-1.48196","2.537758","0","0","0","50.33649","2.537758","0","17.2538","17.93282","17.59331","0","0","0","2.985597","2.985597","0","10.35",
"01.01.2002 12:00:00","-0.789837","0.5464266","-5.324043","33.15804","-1.298455","0.126777","0","0","0","65.6457","0.126777","0","17.9754","18.89211","18.43375","0","0","0","0.149149","0.149149","0","11.4875",
"01.01.2002 13:00:00","-0.847359","0.5323399","-4.829322","31.87835","-1.190205","0","0","0","0","56.24417","0","0","18.46643","19.13824","18.80233","0","0","0","0","0","0","12.3375",
"01.01.2002 14:00:00","-0.706125","0.5106874","-4.332765","31.65615","-1.186608","0","0","0","0","46.93734","0","0","18.48577","19.07339","18.77958","0","0","0","0","0","0","12.7875",
"01.01.2002 15:00:00","-0.577979","0.48667","-3.814521","32.32409","-1.270666","0","0","0","0","29.68762","0","0","18.13274","18.6008","18.36677","0","0","0","0","0","0","12.9",
"01.01.2002 16:00:00","-0.46535","0.4730765","-3.639393","33.6269","-1.383752","0.231735","0","0","0","18.54858","0.2318139","0","17.65791","18.11016","17.88404","0","0","0","0.272629","0.272629","0","12.5875",
"01.01.2002 17:00:00","-0.102838","0.4718998","-3.918389","35.5844","-1.536088","2.71858","0","0","0","1.424064","2.720168","0","17.12084","17.32654","17.22369","0","0","0","3.19833","3.19833","0","11.9625",
"01.01.2002 18:00:00","-0.000003","0.48724","-4.433038","36.83437","-1.599994","5.592469","0","0","0","0","5.592569","0","17.00001","16.96048","16.98024","0","0","0","6.579376","6.579376","0","11.45",
"01.01.2002 19:00:00","0","0.5101774","-4.921886","37.60459","-1.61308","7.106295","0","0","0","0","7.106295","0","17","16.80324","16.90162","0","0","0","8.360347","8.360347","0","11.1125",
"01.01.2002 20:00:00","0","0.5293756","-5.365379","37.96621","-1.620997","8.132869","0","0","0","0","8.132868","0","17","16.70918","16.85459","0","0","0","9.568082","9.568082","0","10.8125",
