"Date/Time","Internal Natural vent.","Mech Vent + Nat Vent + Infiltration","External Infiltration","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Miscellaneous","Computer + Equip","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","ac/h","kW","%","","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 23:00:00","-2.927657","0.1479885","-14.10116","38.42171","-0.8831308","15.65185","0","2.114594","0","0","0","15.65203","0","16.4008","16.4328","16.4168","2.114593","0","2.114593","18.41394","18.41394","0","9.9125",
"02.01.2002","-3.024194","0.1534848","-15.41024","38.01804","-0.8894185","18.98063","0","2.114594","0","0","0","18.98063","0","16.40051","16.3734","16.38696","2.114593","0","2.114593","22.33015","22.33015","0","9.6125",
"02.01.2002 01:00:00","-3.143013","0.1604272","-17.28107","37.63179","-0.8954129","21.55958","0","2.114594","1.080403","0","0","21.55958","0","16.40051","16.31871","16.35962","3.194996","0","3.194996","25.36421","25.36421","0","9.1875",
"02.01.2002 02:00:00","-3.295244","0.1696053","-19.72613","37.19593","-0.901413","25.67057","0","2.114594","1.080403","0","0","25.67057","0","16.40051","16.26546","16.33299","3.194996","0","3.194996","30.20066","30.20066","0","8.6875",
"02.01.2002 03:00:00","-3.439103","0.1778543","-22.21119","36.70248","-0.9074709","29.7353","0","2.114594","1.080403","0","0","29.7353","0","16.40051","16.21588","16.3082","3.194996","0","3.194996","34.98271","34.98271","0","8.1875",
"02.01.2002 04:00:00","-3.555875","0.1840031","-24.13815","36.29543","-0.9129573","33.06026","0","2.114594","1.080403","0","0","33.06026","0","16.40051","16.17062","16.28557","3.194996","0","3.194996","38.89442","38.89442","0","7.8125",
"02.01.2002 05:00:00","-3.629628","0.1881431","-25.6473","35.98419","-0.91783","35.82763","0","2.114594","1.080403","0","0","35.82763","0","16.40051","16.12889","16.2647","3.194996","0","3.194996","42.15015","42.15015","0","7.5125",
"02.01.2002 06:00:00","-13.43714","0.1990208","-28.31191","34.52302","-0.8482692","87.00329","0","2.114594","1.080403","0","0","84.8008","0","17.10131","16.15089","16.6261","3.194996","0","3.194996","102.3568","102.3568","0","7.2125",
"02.01.2002 07:00:00","-14.01287","0.2030298","-29.72803","34.42785","-0.8154962","77.60297","0","2.114594","1.080403","0","0","77.60296","0","17.12381","16.20654","16.66517","3.194996","0","3.194996","91.29762","91.29762","0","6.975",
"02.01.2002 08:00:00","-14.23198","0.221604","-30.94146","34.34453","-0.8086489","66.71494","24.54058","2.114594","2.160806","1.799473","0","63.06767","0","17.12381","16.26837","16.69609","4.275399","24.54058","32.35801","78.48815","78.48815","3.542028","6.775",
