"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Relative Humidity","Fanger PMV","Zone Heating","Task Lighting","General Lighting","Miscellaneous","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","Cooling (Electricity)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","kW","ac/h","kW","kW","%","","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","-11.14049","0","0.6980124","-48.74968","0","35.00161","-1.011657","28.10742","0","0","3.133037","17.61045","0","23.9767","-13.13858","17.92294","18.78189","18.35242","3.133038","0","34.96903","33.06756","33.06756","0","31.836","9.0625",
"01.01.2002 02:00:00","-9.447068","0","0.7005281","-51.31641","0","35.84665","-1.05584","34.72656","0","0","3.133037","17.78613","0","30.41501","-13.3175","17.76858","18.60983","18.1892","3.133038","0","34.96903","40.85478","40.85478","0","31.836","8.675",
"01.01.2002 03:00:00","-9.099161","0","0.7085458","-53.28646","0","36.48501","-1.073497","40.69629","0","0","3.133037","17.84306","0","34.99427","-12.16178","17.71169","18.48805","18.09987","3.133038","0","34.96903","47.87798","47.87798","0","31.836","8.475",
"01.01.2002 04:00:00","-9.0127","0","0.7136469","-54.6344","0","36.42902","-1.087339","45.83499","0","0","3.133037","17.87122","0","38.41222","-10.62416","17.68174","18.38911","18.03543","3.133038","0","34.96903","53.92352","53.92352","0","31.836","8.3375",
"01.01.2002 05:00:00","-8.953232","0","0.7170038","-55.61508","0","36.05202","-1.099417","50.64992","0","0","3.133037","17.88396","0","41.19524","-8.744127","17.66882","18.30293","17.98587","3.133038","0","34.96903","59.58815","59.58815","0","31.836","8.2375",
"01.01.2002 06:00:00","-24.28544","0","0.8149209","-73.9631","0","31.07146","-0.8818538","201.1371","0","0","3.133037","16.33984","0","174.8526","-3.166708","19.99155","18.40073","19.19614","3.133038","0","34.96903","236.6318","236.6318","0","31.836","8.1375",
"01.01.2002 07:00:00","-5.098963","0","0.7927254","-94.16938","0","29.24888","-0.7124207","178.1307","0","90.61707","10.84513","12.6633","0","155.7801","0","20.79151","18.72355","19.75753","10.84513","90.61707","126.931","209.5655","209.5655","0","25.4688","8.1",
"01.01.2002 08:00:00","-4.9022","0","0.8932032","-94.48358","0","29.16133","-0.6736634","145.3205","43.38051","63.23915","31.33037","23.47908","0","112.905","0","20.8","18.89783","19.84892","31.33037","106.6197","161.2765","170.9653","170.9653","0","23.3265","8.1",
"01.01.2002 09:00:00","-4.866678","0","0.9872518","-92.72179","0","29.51924","-0.659065","148.7799","43.38051","63.23915","21.69026","34.29487","18.6365","103.4651","0","20.8","19.0393","19.91965","21.69025","106.6197","149.4941","175.0352","175.0352","0","21.1842","8.225",
"01.01.2002 10:00:00","-4.644981","0","0.9558946","-81.89755","0","30.32097","-0.6107031","109.087","43.38051","63.23915","21.69026","34.29487","67.67442","67.20916","-9.439396E-02","20.8","19.48858","20.14429","21.69025","106.6197","149.4941","128.3376","128.3376","0","21.1842","9.1125",
"01.01.2002 11:00:00","-4.418129","0","0.9158393","-68.24433","0","30.94447","-0.5658209","68.20233","43.38051","63.23915","21.69026","34.29428","100.215","42.68625","-11.78348","20.80705","19.89442","20.35073","21.69025","106.6197","149.4941","80.23804","80.23804","0","21.1842","10.35",
"01.01.2002 12:00:00","-4.751954","0","1.043006","-56.83219","0","30.93956","-0.5159467","30.01765","43.38051","63.23915","31.33037","51.4027","118.5476","19.75338","-39.43246","20.8964","20.29893","20.59767","31.33037","106.6197","169.7263","35.31488","35.31488","0","31.77631","11.4875",
"01.01.2002 13:00:00","-3.181415","0","1.046365","-50.114","0","31.02354","-0.4867907","20.05365","43.38051","63.23915","31.33037","54.01755","119.2468","13.66021","-43.52347","20.99893","20.45704","20.72798","31.33037","106.6197","176.0935","23.59253","23.59253","0","38.14351","12.3375",
"01.01.2002 14:00:00","-1.396351","0","0.9965572","-47.03591","0","31.23434","-0.4794101","23.61963","43.38051","63.23915","21.69026","50.00617","99.10999","17.99287","-40.14923","21.02532","20.45724","20.74128","21.69025","106.6197","160.0862","27.7878","27.7878","0","31.77631","12.7875",
"01.01.2002 15:00:00","-0.54971","0","0.8246715","-46.09658","0","31.30892","-0.5028934","30.48229","43.38051","63.23915","21.69026","33.11573","72.5761","26.00169","-25.95704","21.0057","20.24309","20.6244","21.69025","106.6197","149.4941","35.86152","35.86152","0","21.1842","12.9",
"01.01.2002 16:00:00","-1.307474","0","0.8323333","-47.74916","0","31.61553","-0.5263107","38.05767","43.38051","63.23915","21.69026","33.30327","46.14456","32.81255","-25.61843","20.93733","20.06429","20.50081","21.69025","106.6197","149.4941","44.77373","44.77373","0","21.1842","12.5875",
"01.01.2002 17:00:00","-3.620032","0","1.017651","-51.35878","0","32.66506","-0.5607551","46.9143","43.38051","63.23915","31.33037","51.08256","3.925581","35.35983","-35.60101","20.81399","19.82416","20.31907","31.33037","106.6197","169.7263","55.19329","55.19329","0","31.77631","11.9625",
"01.01.2002 18:00:00","-4.04644","0","1.203046","-56.36329","0","33.82835","-0.5670407","64.28144","43.38051","63.23915","31.33037","68.58942","0","38.29423","-40.35508","20.8","19.74014","20.27007","31.33037","106.6197","180.3184","75.62523","75.62523","0","42.3684","11.45",
"01.01.2002 19:00:00","-4.398736","0","1.088221","-60.31641","0","34.45424","-0.5555379","47.93224","43.38051","113.0303","31.33037","54.59444","0","24.35135","-31.79563","20.82554","19.77955","20.30255","31.33037","156.4108","225.8847","56.39087","56.39087","0","38.14351","11.1125",
"01.01.2002 20:00:00","-13.76767","0","0.7021266","-54.46703","0","34.96652","-0.5981711","43.37306","4.338051","92.85839","20.48524","12.63873","0","32.32645","-4.080471","20.40073","19.6651","20.03292","20.48524","97.19644","143.1505","51.02712","51.02712","0","25.4688","10.8125",
"01.01.2002 21:00:00","-18.52911","0","0.7096286","-52.55309","0","34.73475","-0.6481237","55.34151","4.338051","92.85839","10.84513","12.65131","0","43.71809","-3.901147","20.15756","19.56056","19.85906","10.84513","97.19644","133.5104","65.10765","65.10765","0","25.4688","10.5125",
"01.01.2002 22:00:00","-21.14433","0","0.7508376","-53.08395","0","33.99698","-0.6772015","61.27306","4.338051","92.85839","10.84513","15.82632","0","46.31256","-4.973727","20.03853","19.486","19.76227","10.84513","97.19644","139.8776","72.08595","72.08595","0","31.836","10.2125",
"01.01.2002 23:00:00","-22.44553","0","0.7641263","-55.56649","0","32.73681","-0.7097294","110.9985","4.338051","2.241326","10.84513","15.82913","0","90.55331","0","20.00001","19.28936","19.64468","10.84513","6.579377","49.2605","130.5865","130.5865","0","31.836","9.9125",
"02.01.2002","-16.94209","0","0.7195959","-48.26682","0","34.17814","-0.8609219","13.18356","4.338051","2.241326","3.133037","16.93051","0","10.94107","-15.52394","18.57908","19.04251","18.81079","3.133038","6.579377","41.54841","15.51007","15.51007","0","31.836","9.6125",
"02.01.2002 01:00:00","-11.11607","0","0.6987505","-47.92475","0","34.51178","-1.013574","27.25934","0","0","3.133037","17.61204","0","23.1931","-12.96425","17.92264","18.77747","18.35006","3.133038","0","34.96903","32.06981","32.06981","0","31.836","9.1875",
"02.01.2002 02:00:00","-9.509234","0","0.7084553","-51.81054","0","33.83213","-1.064535","35.50748","0","0","3.133037","17.78674","0","31.13344","-13.20995","17.76471","18.59808","18.1814","3.133038","0","34.96903","41.7735","41.7735","0","31.836","8.6875",
"02.01.2002 03:00:00","-9.189532","0","0.7218236","-56.2444","0","33.2033","-1.09208","44.9099","0","0","3.133037","17.85426","0","38.41945","-11.85646","17.69654","18.46361","18.08007","3.133038","0","34.96903","52.83518","52.83518","0","31.836","8.1875",
"02.01.2002 04:00:00","-9.195592","0","0.7331433","-59.83531","0","32.92261","-1.10887","53.81062","0","0","3.133037","17.88095","0","44.33477","-9.503135","17.67122","18.35533","18.01328","3.133038","0","34.96903","63.30661","63.30661","0","31.836","7.8125",
