"Date/Time","Internal Natural vent.","Mech Vent + Nat Vent + Infiltration","External Infiltration","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Miscellaneous","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","ac/h","kW","%","","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","-1.962604","0.6825323","-11.22157","33.14553","-0.7517339","1.278224","0","0.5403418","4.809208","0","6.583358E-02","-3.987696","19.09948","20.47601","19.78774","0.540342","0","11.89594","1.503793","1.503793","11.3556","9.0625",
"01.01.2002 02:00:00","-1.793159","0.6867932","-11.77149","34.15574","-0.7873366","2.492228","0","0.5403418","4.837371","0","0.8818495","-3.72994","18.98171","20.28911","19.63541","0.540342","0","11.89594","2.932033","2.932033","11.3556","8.675",
"01.01.2002 03:00:00","-1.635725","0.6913468","-12.09395","34.87221","-0.8145501","3.446851","0","0.5403418","4.859179","0","1.803042","-3.743402","18.87308","20.12153","19.4973","0.540342","0","11.89594","4.055119","4.055119","11.3556","8.475",
"01.01.2002 04:00:00","-1.474325","0.6927617","-12.26729","34.82947","-0.8439456","4.172639","0","0.5403418","4.879498","0","2.505693","-3.738436","18.77156","19.96387","19.36772","0.540342","0","11.89594","4.908987","4.908987","11.3556","8.3375",
"01.01.2002 05:00:00","-1.317596","0.6924126","-12.35381","34.57824","-0.8729049","4.765776","0","0.5403418","4.897697","0","3.081981","-3.724363","18.6784","19.81388","19.24614","0.540342","0","11.89594","5.606795","5.606795","11.3556","8.2375",
"01.01.2002 06:00:00","-0.04322","0.7542275","-17.79005","29.73263","-0.6712782","35.14491","0","0.5403418","4.552668","0","28.97027","-1.551906","20.98643","19.80743","20.39693","0.540342","0","11.89594","41.34695","41.34695","11.3556","8.1375",
"01.01.2002 07:00:00","0","0.7165579","-17.98267","29.64937","-0.58143","18.64912","25.39606","2.701709","3.548977","0","13.75953","-0.4528528","21","19.97689","20.48845","2.70171","25.39606","37.18226","21.94014","21.94014","9.084483","8.1",
"01.01.2002 08:00:00","0","0.6761791","-18.00507","29.21069","-0.5800597","20.42286","12.69803","5.403418","2.661734","0","16.41795","0","21","20.01039","20.5052","5.403417","12.69803","24.91481","24.02691","24.02691","6.813363","8.1",
"01.01.2002 09:00:00","0","0.6299183","-17.66336","28.69444","-0.573983","20.36482","12.69803","2.701709","1.774489","2.840135","17.72023","0","21","20.10133","20.55066","2.70171","12.69803","19.94198","23.95861","23.95861","4.54224","8.225",
"01.01.2002 10:00:00","-0.015094","0.6026555","-15.62827","28.5949","-0.5398411","13.30989","12.69803","2.701709","1.774394","6.810702","11.43913","-0.5926533","21.00448","20.44546","20.72497","2.70171","12.69803","19.94198","15.65869","15.65869","4.54224","9.1125",
"01.01.2002 11:00:00","-0.204937","0.5700762","-13.12373","28.56756","-0.5136766","8.989837","12.69803","2.701709","1.77094","9.376321","7.715752","-0.9447755","21.06374","20.64576","20.85475","2.70171","12.69803","19.94198","10.57628","10.57628","4.54224","10.35",
"01.01.2002 12:00:00","-0.644665","0.583594","-11.09035","28.02309","-0.4744786","5.680521","12.69803","5.403418","2.63437","11.26841","4.696188","-2.05241","21.26238","20.83881","21.0506","5.403417","12.69803","24.91481","6.682966","6.682966","6.813363","11.4875",
"01.01.2002 13:00:00","-0.765933","0.6015427","-9.594692","28.00713","-0.4533685","4.905895","12.69803","5.403418","3.494337","15.31158","3.710595","-2.52451","21.31732","20.92323","21.12027","5.403417","12.69803","27.18593","5.771641","5.771641","9.084483","12.3375",
"01.01.2002 14:00:00","-0.74572","0.5471445","-8.811781","28.10093","-0.4390274","4.845347","12.69803","2.701709","2.619749","12.19073","3.995529","-1.797048","21.30711","21.04592","21.17651","2.70171","12.69803","22.21311","5.700408","5.700408","6.813363","12.7875",
"01.01.2002 15:00:00","-0.688259","0.4991308","-8.53154","28.06478","-0.4476745","4.94167","12.69803","2.701709","1.750693","12.10058","4.382705","-1.173448","21.26361","21.02329","21.14345","2.70171","12.69803","19.94198","5.813729","5.813729","4.54224","12.9",
