"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Relative Humidity","Fanger PMV","Zone Heating","Task Lighting","General Lighting","Miscellaneous","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","Cooling (Electricity)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","kW","ac/h","kW","kW","%","","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","-3.280795","0","0.405483","-32.94605","0","34.03975","-0.6739933","0","0","0","3.819746","20.46874","0","0","-23.87641","19.38944","20.35271","19.87108","3.819745","0","42.63365","0","0","0","38.8139","9.0625",
"01.01.2002 02:00:00","-3.760906","0","0.4064285","-33.44615","0","34.5139","-0.7197604","0","0","0","3.819746","20.64351","0","0","-24.31339","19.16342","20.19927","19.68134","3.819745","0","42.63365","0","0","0","38.8139","8.675",
"01.01.2002 03:00:00","-4.082402","0","0.4081986","-33.73713","0","34.86592","-0.7490481","0","0","0","3.819746","20.75376","0","0","-24.49482","19.02102","20.08112","19.55107","3.819745","0","42.63365","0","0","0","38.8139","8.475",
"01.01.2002 04:00:00","-4.36771","0","0.4090911","-33.78665","0","34.90191","-0.7748256","0","0","0","3.819746","20.84184","0","0","-24.58336","18.90229","19.98029","19.44129","3.819745","0","42.63365","0","0","0","38.8139","8.3375",
"01.01.2002 05:00:00","-4.59781","0","0.4094915","-33.73698","0","34.8079","-0.7969601","0","0","0","3.819746","20.91087","0","0","-24.62737","18.80503","19.89087","19.34795","3.819745","0","42.63365","0","0","0","38.8139","8.2375",
"01.01.2002 06:00:00","-8.681446","0","0.432788","-40.05061","0","31.71601","-0.6687087","88.3466","0","0","3.819746","19.69378","0","64.32574","-8.000535","20.23847","19.91898","20.07873","3.819745","0","42.63365","103.9372","103.9372","0","38.8139","8.1375",
"01.01.2002 07:00:00","-2.51726","0","0.405839","-47.48004","0","30.24514","-0.544798","74.56174","0","110.4788","13.2222","15.36978","0","61.08193","-12.89393","20.91195","20.17269","20.54232","13.2222","110.4788","154.7521","87.71969","87.71969","0","31.05112","8.1",
"01.01.2002 08:00:00","-2.785819","0","0.5078265","-47.43397","0","30.25944","-0.5099016","24.79594","52.88878","77.1001","38.19746","28.54644","0","12.59398","-27.51189","20.89458","20.32868","20.61163","38.19746","129.9889","196.6256","29.17169","29.17169","0","28.43927","8.1",
"01.01.2002 09:00:00","-2.610271","0","0.6057084","-46.39328","0","30.70292","-0.5032812","34.09978","52.88878","77.1001","26.44439","41.78145","16.00336","17.63941","-38.91535","20.86164","20.44269","20.65216","26.44439","129.9889","182.2607","40.1174","40.1174","0","25.82742","8.225",
"01.01.2002 10:00:00","-2.355394","0","0.5946425","-41.74724","0","31.07243","-0.4492859","12.52894","52.88878","77.1001","26.44439","41.62424","69.68958","7.994376","-47.70063","21.01291","20.85128","20.9321","26.44439","129.9889","182.2607","14.73993","14.73993","0","25.82742","9.1125",
"01.01.2002 11:00:00","-0.992147","0","0.5844864","-37.85357","0","30.87181","-0.3574307","2.94856","52.88878","77.1001","26.44439","40.12299","108.1112","1.290149","-48.9471","21.43734","21.2955","21.36642","26.44439","129.9889","182.2607","3.468894","3.468894","0","25.82742","10.35",
"01.01.2002 12:00:00","-0.958737","0","0.7438329","-34.63308","0","30.32453","-0.2476599","0","52.88878","77.1001","38.19746","57.85432","134.6958","0","-72.62226","21.99744","21.73783","21.86764","38.19746","129.9889","206.9275","0","0","0","38.74113","11.4875",
"01.01.2002 13:00:00","0.064852","0","0.7716259","-32.76784","0","30.30012","-0.1615091","0","52.88878","77.1001","38.19746","59.39793","137.6869","0","-75.69257","22.37212","22.01008","22.1911","38.19746","129.9889","214.6902","0","0","0","46.50391","12.3375",
"01.01.2002 14:00:00","2.198903","0","0.7940475","-38.72678","0","30.71204","-0.1640342","2.052932","52.88878","77.1001","26.44439","54.5582","127.0745","2.031269","-69.71243","22.18593","22.08002","22.13297","26.44439","129.9889","195.1744","2.415214","2.415214","0","38.74113","12.7875",
"01.01.2002 15:00:00","2.509688","0","0.562187","-30.96342","0","30.72011","-0.1692262","0","52.88878","77.1001","26.44439","35.68952","68.97825","0","-47.56478","22.33609","21.9006","22.11835","26.44439","129.9889","182.2607","0","0","0","25.82742","12.9",
"01.01.2002 16:00:00","2.569333","0","0.5627347","-31.28262","0","31.66667","-0.217035","0","52.88878","77.1001","26.44439","35.94393","36.8023","0","-47.88642","22.06576","21.62064","21.8432","26.44439","129.9889","182.2607","0","0","0","25.82742","12.5875",
"01.01.2002 17:00:00","1.531493","0","0.7350963","-32.45951","0","32.85217","-0.2706804","0","52.88878","77.1001","38.19746","55.74896","3.294497","0","-71.75294","21.80582","21.39008","21.59795","38.19746","129.9889","206.9275","0","0","0","38.74113","11.9625",
"01.01.2002 18:00:00","0.217829","0","0.907005","-33.03189","0","34.46619","-0.3121196","1.003141","52.88878","77.1001","38.19746","77.29795","0","0","-93.26554","21.48893","21.27355","21.38124","38.19746","129.9889","219.8412","1.180166","1.180166","0","51.65483","11.45",
"01.01.2002 19:00:00","-0.334329","0","0.780993","-35.93614","0","34.42516","-0.2930863","0","52.88878","137.8047","38.19746","61.89793","0","0","-78.98143","21.77651","21.2941","21.53531","38.19746","190.6935","275.3948","0","0","0","46.50391","11.1125",
"01.01.2002 20:00:00","-3.319437","0","0.3833508","-35.60559","0","34.55255","-0.2921125","0","5.288878","113.2114","24.97526","14.75972","0","0","-19.96129","21.62","21.212","21.416","24.97526","118.5003","174.5266","0","0","0","31.05112","10.8125",
"01.01.2002 21:00:00","-4.775905","0","0.3847194","-34.92786","0","34.47664","-0.3440739","2.76622","5.288878","113.2114","13.2222","14.87972","0","0","-17.39259","21.30912","21.11453","21.21183","13.2222","118.5003","162.7736","3.254376","3.254376","0","31.05112","10.5125",
"01.01.2002 22:00:00","-5.385651","0","0.419435","-35.33036","0","33.99255","-0.3792458","5.043111","5.288878","113.2114","13.2222","18.72667","0","0","-20.60989","21.1439","21.03435","21.08912","13.2222","118.5003","170.5364","5.933072","5.933072","0","38.8139","10.2125",
"01.01.2002 23:00:00","-4.378958","0","0.4171718","-35.19562","0","33.85121","-0.4534117","34.54555","5.288878","2.732587","13.2222","19.11704","0","17.39205","-7.994222","20.67849","20.79353","20.73601","13.2222","8.021465","60.05757","40.64181","40.64181","0","38.8139","9.9125",
"02.01.2002","-3.426903","0","0.4082341","-32.97603","0","34.201","-0.5699624","0","5.288878","2.732587","3.819746","19.92631","0","0","-23.7671","19.88105","20.56069","20.22087","3.819745","8.021465","50.65511","0","0","0","38.8139","9.6125",
"02.01.2002 01:00:00","-3.398965","0","0.4074409","-32.73266","0","34.08962","-0.6644754","0","0","0","3.819746","20.39556","0","0","-23.6717","19.4174","20.35277","19.88508","3.819745","0","42.63365","0","0","0","38.8139","9.1875",
"02.01.2002 02:00:00","-3.78488","0","0.4103661","-33.77409","0","33.47086","-0.7248164","0","0","0","3.819746","20.64298","0","0","-24.26548","19.15658","20.18416","19.67037","3.819745","0","42.63365","0","0","0","38.8139","8.6875",
"02.01.2002 03:00:00","-4.246158","0","0.4144201","-35.19563","0","32.87196","-0.7679222","0","0","0","3.819746","20.79121","0","0","-25.00797","18.96105","20.04665","19.50385","3.819745","0","42.63365","0","0","0","38.8139","8.1875",
"02.01.2002 04:00:00","-4.670116","0","0.4169943","-36.11394","0","32.55824","-0.8038318","0","0","0","3.819746","20.91306","0","0","-25.54025","18.79844","19.92748","19.36296","3.819745","0","42.63365","0","0","0","38.8139","7.8125",
"02.01.2002 05:00:00","-5.029787","0","0.4187683","-36.78348","0","32.46401","-0.8332288","0","0","0","3.819746","21.01087","0","0","-25.95793","18.66278","19.8214","19.24209","3.819745","0","42.63365","0","0","0","38.8139","7.5125",
"02.01.2002 06:00:00","-9.698281","0","0.4457315","-44.748","0","29.63676","-0.6984586","97.45724","0","0","3.819746","19.72338","0","70.84557","-7.738523","20.1787","19.84305","20.01087","3.819745","0","42.63365","114.6556","114.6556","0","38.8139","7.2125",
"02.01.2002 07:00:00","-2.739789","0","0.4214279","-54.22445","0","28.38473","-0.5697421","86.3148","0","110.4788","13.2222","15.39256","0","70.43438","-12.53767","20.86434","20.09547","20.4799","13.2222","110.4788","154.7521","101.5468","101.5468","0","31.05112","6.975",
"02.01.2002 08:00:00","-2.804702","0","0.5265126","-55.67304","0","28.59376","-0.5329076","41.29669","52.88878","77.1001","38.19746","28.57322","0","17.19193","-19.78826","20.86386","20.24703","20.55545","38.19746","129.9889","196.6256","48.58434","48.58434","0","28.43927","6.775",
"02.01.2002 09:00:00","-2.638037","0","0.6291788","-56.17054","0","28.98048","-0.5292946","56.96135","52.88878","77.1001","26.44439","41.7942","5.661756","25.10147","-30.4728","20.82981","20.31441","20.57211","26.44439","129.9889","182.2607","67.01335","67.01335","0","25.82742","6.7",
"02.01.2002 10:00:00","-2.617362","0","0.6257249","-54.71685","0","29.27156","-0.5169501","48.75889","52.88878","77.1001","26.44439","41.79876","29.57788","22.4025","-35.138","20.83158","20.43981","20.63569","26.44439","129.9889","182.2607","57.36341","57.36341","0","25.82742","6.8875",
"02.01.2002 11:00:00","-2.680749","0","0.6209613","-52.33876","0","29.97998","-0.496062","36.95505","52.88878","77.1001","26.44439","41.78976","51.52729","18.85135","-41.7719","20.85187","20.58739","20.71963","26.44439","129.9889","182.2607","43.47652","43.47652","0","25.82742","7.25",
"02.01.2002 12:00:00","-2.845321","0","0.7848474","-50.657","0","30.95133","-0.4744085","34.10514","52.88878","77.1001","38.19746","62.66013","57.90035","10.43911","-64.34257","20.89224","20.70928","20.80076","38.19746","129.9889","206.9275","40.12369","40.12369","0","38.74113","7.525",
"02.01.2002 13:00:00","-2.826932","0","0.8181443","-50.41698","0","32.09689","-0.4637801","33.74429","52.88878","77.1001","38.19746","66.49118","46.13511","9.626849","-69.47155","20.88482","20.73481","20.80981","38.19746","129.9889","214.6902","39.69916","39.69916","0","46.50391","7.6",
"02.01.2002 14:00:00","-2.69205","0","0.7862774","-50.57577","0","32.67651","-0.4632582","38.328","52.88878","77.1001","26.44439","62.67134","42.1541","15.5646","-64.68581","20.85777","20.73171","20.79474","26.44439","129.9889","195.1744","45.09177","45.09177","0","38.74113","7.6",
"02.01.2002 15:00:00","-2.700232","0","0.6193717","-50.87225","0","32.88596","-0.4656425","26.42566","52.88878","77.1001","26.44439","41.78497","35.05154","17.73364","-49.91159","20.85922","20.70353","20.78138","26.44439","129.9889","182.2607","31.08901","31.08901","0","25.82742","7.5375",
"02.01.2002 16:00:00","-2.667403","0","0.6202181","-51.44333","0","33.21488","-0.4705348","30.38071","52.88878","77.1001","26.44439","41.78588","19.00841","19.24315","-47.92393","20.85127","20.64184","20.74656","26.44439","129.9889","182.2607","35.742","35.742","0","25.82742","7.4375",
"02.01.2002 17:00:00","-2.740086","0","0.7902595","-52.92558","0","33.69667","-0.4749129","43.38518","52.88878","77.1001","38.19746","62.67855","2.207703","15.1469","-61.92493","20.85917","20.5743","20.71673","38.19746","129.9889","206.9275","51.04139","51.04139","0","38.74113","7.2125",
"02.01.2002 18:00:00","-2.679099","0","0.9606941","-55.03553","0","34.78066","-0.4737489","64.19775","52.88878","77.1001","38.19746","83.57788","0","15.23955","-74.62083","20.84138","20.54799","20.69469","38.19746","129.9889","219.8412","75.52676","75.52676","0","51.65483","6.85",
"02.01.2002 19:00:00","-3.000944","0","0.8339691","-58.4045","0","36.02383","-0.4729868","50.98259","52.88878","137.8047","38.19746","66.50179","0","10.51057","-62.18658","20.89225","20.43257","20.66241","38.19746","190.6935","275.3948","59.97951","59.97951","0","46.50391","6.3875",
"02.01.2002 20:00:00","-6.674382","0","0.4339832","-56.41311","0","36.85021","-0.4985661","24.81063","5.288878","113.2114","24.97526","15.35275","0","13.23358","-15.36666","20.62149","20.33997","20.48073","24.97526","118.5003","174.5266","29.18898","29.18898","0","31.05112","6.2",
"02.01.2002 21:00:00","-8.922351","0","0.4340757","-55.07202","0","37.11667","-0.5195366","28.61766","5.288878","113.2114","13.2222","15.33601","0","16.57058","-15.22968","20.43563","20.37143","20.40353","13.2222","118.5003","162.7736","33.66784","33.66784","0","31.05112","6.0125",
"02.01.2002 22:00:00","-10.14681","0","0.467941","-55.34007","0","37.77763","-0.5410394","34.46857","5.288878","113.2114","13.2222","19.20291","0","17.85092","-18.11379","20.31117","20.30761","20.30939","13.2222","118.5003","170.5364","40.55126","40.55126","0","38.8139","5.7125",
"02.01.2002 23:00:00","-10.71065","0","0.4711187","-56.43872","0","38.40831","-0.5749704","83.77988","5.288878","2.732587","13.2222","19.27781","0","49.7735","-1.169682","20.17306","20.09322","20.13314","13.2222","8.021465","60.05757","98.56457","98.56457","0","38.8139","5.4125",
"03.01.2002","-9.372856","0","0.4593315","-51.87668","0","41.27771","-0.7025448","0.651808","5.288878","2.732587","3.819746","20.39405","0","0","-31.91106","18.94311","19.83514","19.38913","3.819745","8.021465","50.65511","0.766833","0.766833","0","38.8139","5.1125",
"03.01.2002 01:00:00","-7.439186","0","0.4492751","-48.87245","0","42.84637","-0.8597203","4.752866","0","0","3.819746","21.25729","0","0","-26.35324","18.21366","19.55818","18.88592","3.819745","0","42.63365","5.591607","5.591607","0","38.8139","4.9375",
"03.01.2002 02:00:00","-7.233845","0","0.4478169","-48.24891","0","42.9114","-0.9010317","9.29783","0","0","3.819746","21.3794","0","1.90773","-23.52322","18.07364","19.39383","18.73373","3.819745","0","42.63365","10.93862","10.93862","0","38.8139","4.9",
"03.01.2002 03:00:00","-6.825543","0","0.4474274","-48.40658","0","42.82351","-0.9222454","13.72291","0","0","3.819746","21.44712","0","6.298153","-23.45853","18.01217","19.28105","18.64661","3.819745","0","42.63365","16.14459","16.14459","0","38.8139","4.8375",
"03.01.2002 04:00:00","-6.501178","0","0.4469754","-48.47956","0","42.7213","-0.9382296","16.94583","0","0","3.819746","21.4967","0","9.500404","-23.39241","17.96682","19.19107","18.57894","3.819745","0","42.63365","19.93628","19.93628","0","38.8139","4.8",
"03.01.2002 05:00:00","-6.233797","0","0.4461504","-48.34362","0","42.66282","-0.9512475","19.38768","0","0","3.819746","21.53462","0","11.94239","-23.28973","17.93088","19.11418","18.52253","3.819745","0","42.63365","22.80903","22.80903","0","38.8139","4.8",
"03.01.2002 06:00:00","-12.82948","0","0.4742957","-57.45825","0","37.81823","-0.7622142","173.5683","0","0","3.819746","19.85997","0","136.187","-3.87176","19.95466","19.20074","19.5777","3.819745","0","42.63365","204.198","204.198","0","38.8139","4.8625",
"03.01.2002 07:00:00","-2.720163","0","0.4474161","-68.40917","0","35.71135","-0.5948226","116.9547","0","110.4788","13.2222","15.4372","0","92.54211","-8.394539","20.80159","19.51659","20.15909","13.2222","110.4788","154.7521","137.5938","137.5938","0","31.05112","4.9",
"03.01.2002 08:00:00","-2.669465","0","0.549075","-68.55103","0","35.88276","-0.5550465","82.36967","52.88878","77.1001","38.19746","28.62339","0","36.60712","-4.130821","20.80003","19.69404","20.24703","38.19746","129.9889","196.6256","96.90549","96.90549","0","28.43927","4.9",
"03.01.2002 09:00:00","-2.653579","0","0.6471252","-66.78865","0","36.27584","-0.5398014","93.07263","52.88878","77.1001","26.44439","41.81172","16.21151","40.15598","-16.67272","20.8009","19.8367","20.3188","26.44439","129.9889","182.2607","109.4972","109.4972","0","25.82742","5.15",
"03.01.2002 10:00:00","-2.790822","0","0.6273424","-56.41755","0","36.56084","-0.4849166","49.26859","52.88878","77.1001","26.44439","41.79546","62.1211","19.60936","-32.9754","20.85966","20.32255","20.5911","26.44439","129.9889","182.2607","57.96305","57.96305","0","25.82742","6.675",
"03.01.2002 11:00:00","-2.620828","0","0.6061057","-45.67566","0","36.28835","-0.4177292","12.86409","52.88878","77.1001","26.44439","41.61744","97.31097","8.325869","-50.3392","21.05689","20.79664","20.92676","26.44439","129.9889","182.2607","15.13422","15.13422","0","25.82742","8.5625",
"03.01.2002 12:00:00","-2.261167","0","0.757543","-39.15704","0","35.27412","-0.3438228","3.517935","52.88878","77.1001","38.19746","60.72869","115.0522","0.3635571","-72.83915","21.4307","21.13629","21.28349","38.19746","129.9889","206.9275","4.138747","4.138747","0","38.74113","10.075",
"03.01.2002 13:00:00","-1.041773","0","0.7788365","-35.21784","0","34.70087","-0.2863141","0.671005","52.88878","77.1001","38.19746","62.46891","119.5676","0","-77.15845","21.69869","21.36608","21.53239","38.19746","129.9889","214.6902","0.789418","0.789418","0","46.50391","11.1625",
"03.01.2002 14:00:00","-0.07468","0","0.7389261","-33.23646","0","34.23814","-0.2259727","0","52.88878","77.1001","26.44439","56.77369","133.3123","0","-72.42053","21.98337","21.64739","21.81538","26.44439","129.9889","195.1744","0","0","0","38.74113","11.875",
