"Date/Time","Internal Natural vent.","Mech Vent + Nat Vent + Infiltration","External Infiltration","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Computer + Equip","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","ac/h","kW","%","","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","0","0.5581517","-8.028887","35.44639","-1.73583","15.946","0","0","0","0","15.946","0","17","15.74014","16.37007","0","0","0","18.76","18.76","0","9.0625",
"01.01.2002 02:00:00","0","0.5730346","-8.651117","36.17881","-1.737905","16.89189","0","0","0","0","16.89189","0","17","15.69745","16.34873","0","0","0","19.87282","19.87282","0","8.675",
"01.01.2002 03:00:00","0","0.5867281","-9.070668","36.87029","-1.738579","17.60851","0","0","0","0","17.60851","0","17","15.65821","16.32911","0","0","0","20.7159","20.7159","0","8.475",
"01.01.2002 04:00:00","0","0.5955369","-9.354716","36.8647","-1.741877","18.1648","0","0","0","0","18.1648","0","17","15.62154","16.31077","0","0","0","21.37036","21.37036","0","8.3375",
"01.01.2002 05:00:00","0","0.6008027","-9.546127","36.51703","-1.746923","18.62181","0","0","0","0","18.62181","0","17","15.58677","16.29338","0","0","0","21.90802","21.90802","0","8.2375",
"01.01.2002 06:00:00","0","0.6038035","-9.703032","36.11605","-1.752831","19.05152","0","0","0","0","19.05152","0","17","15.55095","16.27547","0","0","0","22.41356","22.41356","0","8.1375",
"01.01.2002 07:00:00","0","0.6056912","-9.77447","35.94616","-1.757033","19.35678","0","0","0","0","19.35678","0","17","15.51985","16.25992","0","0","0","22.77269","22.77269","0","8.1",
"01.01.2002 08:00:00","0","0.6069993","-9.795438","35.58826","-1.761987","19.63419","0","0","0","0","19.63419","0","17","15.48665","16.24333","0","0","0","23.09904","23.09904","0","8.1",
"01.01.2002 09:00:00","0","0.599242","-9.534842","35.24794","-1.76095","19.18159","0","0","0","2.123024","19.18159","0","17","15.51476","16.25738","0","0","0","22.56657","22.56657","0","8.225",
"01.01.2002 10:00:00","0","0.556658","-7.973308","35.35428","-1.730481","15.66333","0","0","0","11.05407","15.66333","0","17","15.79952","16.39976","0","0","0","18.42745","18.42745","0","9.1125",
"01.01.2002 11:00:00","0","0.5015838","-6.058769","35.53524","-1.679671","10.98031","0","0","0","21.23458","10.98031","0","17","16.26579","16.6329","0","0","0","12.91801","12.91801","0","10.35",
"01.01.2002 12:00:00","0","0.4458036","-4.4676","35.20756","-1.637365","6.970483","0","0","0","26.53572","6.970484","0","17","16.6743","16.83715","0","0","0","8.200568","8.200568","0","11.4875",
"01.01.2002 13:00:00","-0.007746","0.3989824","-3.382132","34.90306","-1.589244","2.783579","0","0","0","36.54549","2.783578","0","17.01032","17.13823","17.07428","0","0","0","3.2748","3.2748","0","12.3375",
"01.01.2002 14:00:00","-0.119232","0.3840854","-2.98264","34.35899","-1.525768","0.45921","0","0","0","40.89801","0.4592098","0","17.18583","17.57215","17.37899","0","0","0","0.540247","0.540247","0","12.7875",
"01.01.2002 15:00:00","-0.042072","0.3781416","-2.847388","34.47341","-1.548943","0.904376","0","0","0","26.06292","0.9044266","0","17.11183","17.33653","17.22418","0","0","0","1.063972","1.063972","0","12.9",
"01.01.2002 16:00:00","0.000588","0.3808072","-3.052655","34.96703","-1.611993","3.662659","0","0","0","12.86783","3.662791","0","17.00893","16.90516","16.95704","0","0","0","4.30901","4.30901","0","12.5875",
"01.01.2002 17:00:00","0","0.41062","-3.754039","35.70977","-1.671393","7.94967","0","0","0","0.7701084","7.94967","0","17","16.34569","16.67284","0","0","0","9.352554","9.352554","0","11.9625",
"01.01.2002 18:00:00","0","0.4387529","-4.414733","36.65391","-1.691773","9.918987","0","0","0","0","9.918986","0","17","16.11164","16.55582","0","0","0","11.6694","11.6694","0","11.45",
"01.01.2002 19:00:00","0","0.4595026","-4.902639","37.42689","-1.698933","11.01749","0","0","0","0","11.01749","0","17","16.005","16.5025","0","0","0","12.96176","12.96176","0","11.1125",
"01.01.2002 20:00:00","0","0.4762056","-5.337956","37.82362","-1.703304","11.81456","0","0","0","0","11.81456","0","17","15.94238","16.47119","0","0","0","13.89948","13.89948","0","10.8125",
