"Date/Time","Internal Natural vent.","Mech Vent + Nat Vent + Infiltration","External Infiltration","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Miscellaneous","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","ac/h","kW","%","","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","-2.259814","0.6811762","-12.86627","33.15224","-0.750339","1.396303","0","0.6214393","5.53092","0","5.730531E-02","-4.641283","19.09902","20.48875","19.79389","0.621438","0","13.68135","1.642709","1.642709","13.05991","9.0625",
"01.01.2002 02:00:00","-2.064791","0.6853243","-13.49354","34.16218","-0.7861816","2.792789","0","0.6214393","5.563659","0","0.9407163","-4.288826","18.98015","20.30163","19.64089","0.621438","0","13.68135","3.285634","3.285634","13.05991","8.675",
"01.01.2002 03:00:00","-1.88261","0.6898075","-13.86113","34.88048","-0.8136476","3.897961","0","0.6214393","5.589007","0","2.007415","-4.303589","18.87032","20.13311","19.50171","0.621438","0","13.68135","4.585836","4.585836","13.05991","8.475",
"01.01.2002 04:00:00","-1.695456","0.6911681","-14.05807","34.84109","-0.8432842","4.74146","0","0.6214393","5.612625","0","2.824308","-4.297209","18.76768","19.97444","19.37106","0.621438","0","13.68135","5.578188","5.578188","13.05991","8.3375",
"01.01.2002 05:00:00","-1.513218","0.6907741","-14.15569","34.59283","-0.8724738","5.432348","0","0.6214393","5.633793","0","3.495837","-4.280386","18.67345","19.82348","19.24846","0.621438","0","13.68135","6.390997","6.390997","13.05991","8.2375",
"01.01.2002 06:00:00","-0.017254","0.7516667","-20.353","29.78155","-0.6737083","40.11885","0","0.6214393","5.238037","0","32.66791","-1.406179","20.96281","19.81302","20.38791","0.621438","0","13.68135","47.19865","47.19865","13.05991","8.1375",
"01.01.2002 07:00:00","0","0.7148948","-20.61929","29.65375","-0.5813391","21.20684","29.20765","3.107196","4.081629","0","15.83485","-0.7724611","21","19.97757","20.48878","3.107196","29.20765","42.76278","24.94922","24.94922","10.44793","8.1",
"01.01.2002 08:00:00","0","0.6745179","-20.64515","29.21522","-0.5801027","23.25795","14.60382","6.214393","3.061222","0","18.65175","0","21","20.00974","20.50487","6.214392","14.60382","28.65416","27.36229","27.36229","7.835949","8.1",
"01.01.2002 09:00:00","0","0.6283265","-20.25532","28.69848","-0.574528","23.3493","14.60382","3.107196","2.040814","3.488968","20.30779","0","21","20.09579","20.54789","3.107196","14.60382","22.93498","27.46976","27.46976","5.223966","8.225",
"01.01.2002 10:00:00","-0.007375","0.6010946","-17.91995","28.60202","-0.5442583","16.20724","14.60382","3.107196","2.040787","7.659575","14.08529","-0.7105749","21.00191","20.40333","20.70262","3.107196","14.60382","22.93498","19.06734","19.06734","5.223966","9.1125",
"01.01.2002 11:00:00","-0.176447","0.5683679","-15.04065","28.59693","-0.5243098","12.0383","14.60382","3.107196","2.037898","11.03326","10.34789","-0.8573638","21.04788","20.55623","20.80206","3.107196","14.60382","22.93498","14.16271","14.16271","5.223966","10.35",
"01.01.2002 12:00:00","-0.598236","0.5800152","-12.63253","28.15637","-0.4937709","7.508875","14.60382","6.214393","3.039129","12.62256","6.364956","-2.321854","21.1876","20.72449","20.95604","6.214392","14.60382","28.65416","8.833971","8.833971","7.835949","11.4875",
"01.01.2002 13:00:00","-0.755407","0.598546","-10.95368","28.08518","-0.4695402","6.189166","14.60382","6.214393","4.029467","19.04274","4.814474","-2.882463","21.27338","20.82771","21.05055","6.214392","14.60382","31.26615","7.281372","7.281372","10.44793","12.3375",
"01.01.2002 14:00:00","-0.859878","0.5460467","-10.11736","28.07502","-0.4395705","5.415433","14.60382","3.107196","3.014127","12.68878","4.438072","-2.072684","21.32369","21.04937","21.18653","3.107196","14.60382","25.54697","6.371098","6.371098","7.835949","12.7875",
"01.01.2002 15:00:00","-0.877296","0.5007031","-9.870032","27.96784","-0.4367778","5.421357","14.60382","3.107196","2.007374","16.55391","4.7785","-1.363482","21.322","21.05822","21.19011","3.107196","14.60382","22.93498","6.378067","6.378067","5.223966","12.9",
"01.01.2002 16:00:00","-0.84072","0.5064071","-10.36473","28.16393","-0.4443857","6.389202","14.60382","3.107196","2.011672","8.585789","5.706666","-1.386917","21.27236","21.03445","21.15341","3.107196","14.60382","22.93498","7.516709","7.516709","5.223966","12.5875",
"01.01.2002 17:00:00","-0.860401","0.5646092","-11.58891","28.84472","-0.4501351","6.893294","14.60382","6.214393","3.020116","0.4967636","5.816093","-2.253956","21.28048","20.96748","21.12398","6.214392","14.60382","28.65416","8.109757","8.109757","7.835949","11.9625",
"01.01.2002 18:00:00","-0.760266","0.6218762","-12.67004","29.98595","-0.4520022","8.099491","14.60382","6.214393","4.033049","0","6.507148","-3.06578","21.22084","20.92739","21.07412","6.214392","14.60382","31.26615","9.528814","9.528814","10.44793","11.45",
"01.01.2002 19:00:00","-1.111501","0.6398451","-13.71971","30.33649","-0.4287712","6.779813","29.20765","6.214393","4.009106","0","5.209384","-3.352102","21.43731","20.96226","21.19979","6.214392","29.20765","45.86997","7.976251","7.976251","10.44793","11.1125",
"01.01.2002 20:00:00","-1.276553","0.6543956","-14.57823","30.48606","-0.4046296","7.383646","29.20765","6.214393","3.97973","0","5.765462","-3.4774","21.49883","21.00681","21.25282","6.214392","29.20765","45.86997","8.686643","8.686643","10.44793","10.8125",
