"Date/Time","Internal Natural vent.","Mech Vent + Nat Vent + Infiltration","External Infiltration","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Miscellaneous","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","ac/h","kW","%","","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","-2.026992","0.6837701","-11.63406","33.1576","-0.7535499","1.333936","0","0.5590324","4.977829","0","6.926034E-02","-4.109579","19.08886","20.4718","19.78033","0.559032","0","12.30743","1.569336","1.569336","11.7484","9.0625",
"01.01.2002 02:00:00","-1.851567","0.6880139","-12.20345","34.17189","-0.7890835","2.583481","0","0.5590324","5.006875","0","0.9173985","-3.853053","18.97071","20.28518","19.62795","0.559032","0","12.30743","3.039389","3.039389","11.7484","8.675",
"01.01.2002 03:00:00","-1.687009","0.6925535","-12.53681","34.89233","-0.8164538","3.578665","0","0.5590324","5.029616","0","1.878001","-3.866477","18.86114","20.11714","19.48914","0.559032","0","12.30743","4.210194","4.210194","11.7484","8.475",
"01.01.2002 04:00:00","-1.518145","0.6939375","-12.71545","34.85092","-0.8460084","4.337884","0","0.5590324","5.050784","0","2.613284","-3.860896","18.75879","19.95893","19.35886","0.559032","0","12.30743","5.103393","5.103393","11.7484","8.3375",
"01.01.2002 05:00:00","-1.353774","0.6935501","-12.80406","34.60052","-0.8751207","4.959386","0","0.5590324","5.069753","0","3.217347","-3.84592","18.66486","19.80845","19.23665","0.559032","0","12.30743","5.834572","5.834572","11.7484","8.2375",
"01.01.2002 06:00:00","-0.033519","0.7553024","-18.43069","29.76301","-0.6748706","36.4467","0","0.5590324","4.711942","0","29.71685","-1.249598","20.9674","19.7993","20.38335","0.559032","0","12.30743","42.87848","42.87848","11.7484","8.1375",
"01.01.2002 07:00:00","0","0.7184525","-18.6685","29.64439","-0.5827197","19.37357","26.27452","2.795162","3.671739","0","14.47833","-0.6320655","21","19.96461","20.48231","2.795163","26.27452","38.46841","22.79244","22.79244","9.398718","8.1",
"01.01.2002 08:00:00","0","0.6780719","-18.69163","29.20578","-0.5814359","21.21534","13.13726","5.590324","2.753804","0","17.07176","0","21","19.99725","20.49863","5.590323","13.13726","25.77662","24.95922","24.95922","7.049037","8.1",
"01.01.2002 09:00:00","0","0.6318333","-18.33821","28.68963","-0.5759484","21.29618","13.13726","2.795162","1.83587","3.074205","18.56011","0","21","20.08245","20.54123","2.795163","13.13726","20.63178","25.05433","25.05433","4.699359","8.225",
