"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Computer + Equip","Occupancy","Solar Gains Interior Windows","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","Cooling (Electricity)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","kW","ac/h","kW","kW","%","","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 23:00:00","-0.198577","0","0.1634464","-16.55573","0","36.91453","-1.57991","20.21202","0","0","0","0","0","20.21202","0","17.0515","17.06454","17.05802","0","0","0","23.77884","23.77884","0","0","9.9125",
"02.01.2002","-0.167519","0","0.167966","-17.72534","0","36.5293","-1.587245","22.32105","0","0","0","0","0","22.32105","0","17.04232","17.0246","17.03346","0","0","0","26.26006","26.26006","0","0","9.6125",
"02.01.2002 01:00:00","-0.22581","0","0.1737922","-19.39326","0","36.10729","-1.591483","20.13225","0","7.473166","0","0","0","20.13225","0","17.05983","16.99198","17.0259","7.473166","0","7.473166","23.685","23.685","0","0","9.1875",
"02.01.2002 02:00:00","-0.23913","0","0.1813918","-21.52544","0","35.63612","-1.596402","22.83265","0","7.473166","0","0","0","22.83265","0","17.05866","16.95524","17.00695","7.473166","0","7.473166","26.86194","26.86194","0","0","8.6875",
"02.01.2002 03:00:00","-0.206828","0","0.1877857","-23.61208","0","35.10236","-1.604981","25.81301","0","7.473166","0","0","0","25.81301","0","17.04711","16.91577","16.98144","7.473166","0","7.473166","30.36824","30.36824","0","0","8.1875",
"02.01.2002 04:00:00","-0.178593","0","0.1920985","-25.17093","0","34.64177","-1.612386","28.20155","0","7.473166","0","0","0","28.20155","0","17.03982","16.8786","16.95921","7.473166","0","7.473166","33.17829","33.17829","0","0","7.8125",
"02.01.2002 05:00:00","-0.151343","0","0.195139","-26.39582","0","34.27711","-1.61899","30.19035","0","7.473166","0","0","0","30.19035","0","17.03325","16.84378","16.93851","7.473166","0","7.473166","35.51805","35.51805","0","0","7.5125",
"02.01.2002 06:00:00","0.27314","0","0.2328993","-44.73034","0","26.99526","-1.223788","279.9687","0","7.473166","0","0","0","264.8516","0","20.80164","17.19659","18.99911","7.473166","0","7.473166","329.3749","329.3749","0","0","7.2125",
"02.01.2002 07:00:00","0.018553","0","0.2479347","-48.83446","0","26.57246","-1.031629","214.9362","0","7.473166","0","0","0","214.7092","0","20.99691","17.5816","19.28926","7.473166","0","7.473166","252.8661","252.8661","0","0","6.975",
"02.01.2002 08:00:00","0","0","0.408215","-56.25605","0","26.72638","-0.9791972","137.4636","169.7476","14.94633","12.44699","0","0","112.2334","0","21","18.04875","19.52437","14.94633","169.7476","203.9442","161.7219","161.7219","0","19.25021","6.775",
"02.01.2002 09:00:00","0","0","0.5369207","-56.94993","0","27.08104","-0.9440395","125.6635","169.7476","29.89266","24.89397","0.152421","4.411428","75.58775","-0.627685","21","18.35168","19.67584","29.89266","169.7476","238.1407","147.8394","147.8394","0","38.50042","6.7",
"02.01.2002 10:00:00","0","0","0.6607636","-55.61606","0","27.62243","-0.9090855","111.961","169.7476","44.83899","37.34096","0.798663","23.1046","47.94083","-11.08006","21","18.65187","19.82593","44.83899","169.7476","272.3372","131.7188","131.7188","0","57.75063","6.8875",
"02.01.2002 11:00:00","0","0","0.7828755","-53.24856","0","28.84629","-0.8696378","95.86698","169.7476","59.78532","49.78795","1.379685","39.8983","26.81494","-28.55353","21","18.95288","19.97644","59.78532","169.7476","306.5338","112.7847","112.7847","0","77.00083","7.25",
"02.01.2002 12:00:00","0","0","0.7798646","-51.5549","0","29.98526","-0.8381816","80.80979","169.7476","59.78532","49.78795","1.542674","44.61766","20.08562","-34.96201","21","19.17505","20.08753","59.78532","169.7476","306.5338","95.07035","95.07035","0","77.00083","7.525",
"02.01.2002 13:00:00","0","0","0.5263285","-51.25207","0","30.51965","-0.8258182","69.41327","169.7476","29.89266","24.89397","1.241766","35.93435","36.92161","-15.07546","21","19.24339","20.12169","29.89266","169.7476","238.1407","81.66267","81.66267","0","38.50042","7.6",
"02.01.2002 14:00:00","-0.001107","0","0.6537868","-51.37593","0","30.54097","-0.8157421","67.67376","169.7476","44.83899","37.34096","1.136385","32.88658","23.39598","-27.08525","21.00017","19.33525","20.16771","44.83899","169.7476","272.3372","79.61618","79.61618","0","57.75063","7.6",
"02.01.2002 15:00:00","-0.001584","0","0.7805443","-51.63013","0","30.96607","-0.8036173","66.49007","169.7476","59.78532","49.78739","0.944088","27.32122","13.953","-43.09713","21.00025","19.43051","20.21538","59.78532","169.7476","306.5338","78.22361","78.22361","0","77.00083","7.5375",
"02.01.2002 16:00:00","-0.009076","0","0.781841","-52.28102","0","31.7639","-0.7950204","65.70461","169.7476","59.78532","49.78487","0.512007","14.81813","13.45085","-44.11796","21.00141","19.46301","20.23221","59.78532","169.7476","306.5338","77.29954","77.29954","0","77.00083","7.4375",
"02.01.2002 17:00:00","-0.076037","0","0.5314734","-53.80127","0","32.00102","-0.7965984","63.14299","169.7476","29.89266","24.88371","0.059394","1.71908","31.72167","-17.59126","21.01169","19.41419","20.21294","29.89266","169.7476","238.1407","74.28587","74.28587","0","38.50042","7.2125",
"02.01.2002 18:00:00","-0.139911","0","0.407479","-55.78991","0","32.02241","-0.7963699","62.22548","169.7476","14.94633","12.43605","0","0","44.80432","-7.76125","21.0213","19.40543","20.21336","14.94633","169.7476","203.9442","73.20645","73.20645","0","19.25021","6.85",
"02.01.2002 19:00:00","-0.252435","0","0.2566249","-52.68708","0","32.1095","-0.7975422","52.80867","169.7476","7.473166","0","0","0","52.80867","0","21.04611","19.35581","20.20096","7.473166","169.7476","177.2208","62.12785","62.12785","0","0","6.3875",
"02.01.2002 20:00:00","-4.438633","0","0.2477294","-43.48771","0","35.62298","-0.9872975","0.301647","0","7.473166","0","0","0","0.3030959","0","19.29009","18.92015","19.10512","7.473166","0","7.473166","0.354879","0.354879","0","0","6.2",
"02.01.2002 21:00:00","-5.488029","0","0.2349963","-37.51822","0","38.27053","-1.251587","6.053765","0","7.473166","0","0","0","6.063323","0","18.08878","18.53292","18.31085","7.473166","0","7.473166","7.122077","7.122077","0","0","6.0125",
"02.01.2002 22:00:00","-3.950123","0","0.2289314","-37.04107","0","39.71216","-1.337221","12.89344","0","7.473166","0","0","0","12.89344","0","17.68193","18.30273","17.99233","7.473166","0","7.473166","15.16875","15.16875","0","0","5.7125",
"02.01.2002 23:00:00","-3.307877","0","0.2304819","-38.19743","0","40.67402","-1.371955","17.08682","0","7.473166","0","0","0","17.08693","0","17.55223","18.1523","17.85226","7.473166","0","7.473166","20.10214","20.10214","0","0","5.4125",
"03.01.2002","-2.913983","0","0.2334925","-39.68911","0","41.21188","-1.390845","21.00705","0","7.473166","0","0","0","21.00705","0","17.48757","18.04623","17.7669","7.473166","0","7.473166","24.71417","24.71417","0","0","5.1125",
"03.01.2002 01:00:00","-2.607153","0","0.2349783","-40.52913","0","41.66315","-1.404353","23.59107","0","7.473166","0","0","0","23.59107","0","17.44168","17.96387","17.70278","7.473166","0","7.473166","27.7542","27.7542","0","0","4.9375",
"03.01.2002 02:00:00","-2.350416","0","0.2349635","-40.65711","0","41.98505","-1.415275","25.08793","0","7.473166","0","0","0","25.08793","0","17.40594","17.89588","17.65091","7.473166","0","7.473166","29.51522","29.51522","0","0","4.9",
"03.01.2002 03:00:00","-2.133403","0","0.2353285","-40.9356","0","42.20082","-1.425098","26.56159","0","7.473166","0","0","0","26.56159","0","17.37509","17.83493","17.60501","7.473166","0","7.473166","31.24894","31.24894","0","0","4.8375",
"03.01.2002 04:00:00","-1.930345","0","0.2353174","-41.0653","0","42.3171","-1.434713","27.75074","0","7.473166","0","0","0","27.75074","0","17.34638","17.77818","17.56228","7.473166","0","7.473166","32.64793","32.64793","0","0","4.8",
"03.01.2002 05:00:00","-1.743143","0","0.2347887","-40.97982","0","42.38477","-1.443699","28.61707","0","7.473166","0","0","0","28.61707","0","17.32062","17.72598","17.5233","7.473166","0","7.473166","33.66714","33.66714","0","0","4.8",
"03.01.2002 06:00:00","0.050161","0","0.2642688","-59.59002","0","34.05005","-1.079088","255.7756","0","7.473166","0","0","0","242.4375","0","20.83908","18.00702","19.42306","7.473166","0","7.473166","300.9124","300.9124","0","0","4.8625",
"03.01.2002 07:00:00","0.010014","0","0.2718519","-61.67649","0","33.68921","-0.9069673","180.293","0","7.473166","0","0","0","180.2359","0","20.99903","18.31523","19.65713","7.473166","0","7.473166","212.1094","212.1094","0","0","4.9",
"03.01.2002 08:00:00","0","0","0.4311444","-69.17606","0","33.89622","-0.8592637","111.3509","169.7476","14.94633","12.44699","0","0","83.91921","-1.186332","21","18.74393","19.87197","14.94633","169.7476","203.9442","131.0011","131.0011","0","19.25021","4.9",
"03.01.2002 09:00:00","0","0","0.5547478","-67.52283","0","34.35155","-0.8200659","99.98097","169.7476","29.89266","24.89397","0.48559","14.31919","55.96215","-12.32617","21","19.08249","20.04125","29.89266","169.7476","238.1407","117.6247","117.6247","0","38.50042","5.15",
"03.01.2002 10:00:00","-0.072614","0","0.6620228","-57.27663","0","34.93802","-0.7720037","71.25885","169.7476","44.83899","37.33471","1.526378","37.81898","25.29632","-30.50443","21.01209","19.48763","20.24986","44.83899","169.7476","272.3372","83.83393","83.83393","0","57.75063","6.675",
"03.01.2002 11:00:00","-0.432687","0","0.7657738","-45.77993","0","35.05072","-0.7255973","42.40085","169.7476","59.78532","49.6226","1.895278","45.63597","5.203265","-51.94355","21.09614","19.80761","20.45188","59.78532","169.7476","306.5338","49.88336","49.88336","0","77.00083","8.5625",
"03.01.2002 12:00:00","-1.002224","0","0.7473718","-37.41213","0","34.28258","-0.6829611","20.71568","169.7476","59.78532","49.33381","2.082038","54.71216","0.3056055","-58.91536","21.22747","20.07756","20.65251","59.78532","169.7476","306.5338","24.37139","24.37139","0","77.00083","10.075",
"03.01.2002 13:00:00","-1.698851","0","0.481708","-31.9757","0","33.44921","-0.6370031","11.12141","169.7476","29.89266","24.47419","2.753253","77.19308","1.856287","-27.09598","21.38819","20.33729","20.86274","29.89266","169.7476","238.1407","13.08401","13.08401","0","38.50042","11.1625",
"03.01.2002 14:00:00","-2.123092","0","0.5990267","-28.6888","0","32.86588","-0.603251","4.292405","169.7476","44.83899","36.41149","1.986838","51.93394","0","-47.32698","21.55155","20.47516","21.01336","44.83899","169.7476","272.3372","5.049888","5.049888","0","57.75063","11.875",
"03.01.2002 15:00:00","-2.348009","0","0.7237417","-27.87896","0","32.76923","-0.5662397","1.123821","169.7476","59.78532","48.14951","1.777185","44.10983","0","-66.82397","21.71465","20.61058","21.16262","59.78532","169.7476","306.5338","1.322142","1.322142","0","77.00083","12.1625",
"03.01.2002 16:00:00","-2.496571","0","0.7313477","-29.79358","0","32.41987","-0.5508847","1.490663","169.7476","59.78532","47.93018","1.209923","25.25558","0","-68.69159","21.75412","20.64922","21.20167","59.78532","169.7476","306.5338","1.753721","1.753721","0","77.00083","11.8875",
"03.01.2002 17:00:00","-2.372884","0","0.4907075","-34.18467","0","31.80352","-0.5892155","9.016343","169.7476","29.89266","24.1211","0.323693","11.30026","0.9844795","-29.75273","21.57996","20.5011","21.04053","29.89266","169.7476","238.1407","10.60746","10.60746","0","38.50042","10.95",
"03.01.2002 18:00:00","-2.002023","0","0.3735763","-38.38015","0","31.17331","-0.6329461","15.54364","169.7476","14.94633","12.16964","0","0","9.19695","-13.85342","21.43567","20.36727","20.90147","14.94633","169.7476","203.9442","18.28664","18.28664","0","19.25021","10.0625",
"03.01.2002 19:00:00","-2.177845","0","0.2296891","-37.73011","0","30.23823","-0.6427326","14.29579","169.7476","7.473166","0","0","0","14.29579","0","21.47584","20.3333","20.90457","7.473166","169.7476","177.2208","16.81857","16.81857","0","0","9.425",
"03.01.2002 20:00:00","-4.337954","0","0.2261386","-33.67392","0","32.34415","-0.8172406","0","0","7.473166","0","0","0","0","0","20.02296","19.898","19.96048","7.473166","0","7.473166","0","0","0","0","8.7625",
"03.01.2002 21:00:00","-5.20967","0","0.2240968","-32.1482","0","33.73916","-1.027259","0","0","7.473166","0","0","0","0","0","19.02393","19.50623","19.26508","7.473166","0","7.473166","0","0","0","0","8.0625",
"03.01.2002 22:00:00","-5.250811","0","0.2237682","-32.60736","0","34.11647","-1.148566","0","0","7.473166","0","0","0","0","0","18.45976","19.23857","18.84917","7.473166","0","7.473166","0","0","0","0","7.3625",
"03.01.2002 23:00:00","-5.396166","0","0.2279278","-34.66593","0","33.98712","-1.212253","2.319529","0","7.473166","0","0","0","2.320219","0","18.19901","19.04621","18.62261","7.473166","0","7.473166","2.728858","2.728858","0","0","6.6625",
"04.01.2002","-5.305468","0","0.2337797","-37.57043","0","33.72284","-1.254164","6.956432","0","7.473166","0","0","0","6.956619","0","18.04624","18.89655","18.4714","7.473166","0","7.473166","8.184038","8.184038","0","0","5.9625",
"04.01.2002 01:00:00","-5.167077","0","0.2425916","-41.70261","0","33.29209","-1.286127","12.67756","0","7.473166","0","0","0","12.67756","0","17.93615","18.7677","18.35192","7.473166","0","7.473166","14.91477","14.91477","0","0","5.1375",
"04.01.2002 02:00:00","-5.078781","0","0.2536889","-47.16327","0","32.58629","-1.318287","19.03334","0","7.473166","0","0","0","19.03334","0","17.82359","18.64465","18.23412","7.473166","0","7.473166","22.39217","22.39217","0","0","4.1125",
"04.01.2002 03:00:00","-4.925897","0","0.2646194","-52.97042","0","31.65802","-1.351575","26.20943","0","7.473166","0","0","0","26.20957","0","17.71546","18.52312","18.11929","7.473166","0","7.473166","30.83463","30.83463","0","0","3.075",
"04.01.2002 04:00:00","-4.581205","0","0.2718238","-57.29438","0","30.49385","-1.380092","32.94826","0","7.473166","0","0","0","32.94826","0","17.64502","18.41412","18.02957","7.473166","0","7.473166","38.76266","38.76266","0","0","2.325",
"04.01.2002 05:00:00","-4.247432","0","0.276832","-60.71424","0","29.45067","-1.403811","38.35592","0","7.473166","0","0","0","38.35592","0","17.5908","18.31904","17.95492","7.473166","0","7.473166","45.1246","45.1246","0","0","1.725",
