"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Computer + Equip","Occupancy","Solar Gains Interior Windows","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","Cooling (Electricity)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","kW","ac/h","kW","kW","%","","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","-0.08122","0","0.1899103","-8.991777","0","36.17667","-1.53425","6.57218","0","0","0","0","0","6.57218","0","17.11471","17.44004","17.27738","0","0","0","7.731976","7.731976","0","0","9.0625",
"01.01.2002 02:00:00","-0.070825","0","0.1938147","-9.627119","0","36.38377","-1.542095","8.038125","0","0","0","0","0","8.038125","0","17.0986","17.38325","17.24092","0","0","0","9.456618","9.456618","0","0","8.675",
"01.01.2002 03:00:00","-0.062171","0","0.1971539","-10.02557","0","36.5544","-1.548564","9.203038","0","0","0","0","0","9.203039","0","17.08531","17.3314","17.20835","0","0","0","10.8271","10.8271","0","0","8.475",
"01.01.2002 04:00:00","-0.053394","0","0.1995636","-10.30887","0","36.53917","-1.555494","10.15914","0","0","0","0","0","10.15914","0","17.07265","17.28292","17.17779","0","0","0","11.95193","11.95193","0","0","8.3375",
"01.01.2002 05:00:00","-0.045306","0","0.2012752","-10.51509","0","36.44232","-1.562224","10.96976","0","0","0","0","0","10.96976","0","17.0614","17.23852","17.14996","0","0","0","12.9056","12.9056","0","0","8.2375",
"01.01.2002 06:00:00","-0.037182","0","0.202387","-10.69165","0","36.29647","-1.569098","11.6641","0","0","0","0","0","11.6641","0","17.05044","17.19591","17.12318","0","0","0","13.72247","13.72247","0","0","8.1375",
"01.01.2002 07:00:00","-0.029904","0","0.2028457","-10.75941","0","36.19926","-1.575217","12.20178","0","0","0","0","0","12.20178","0","17.0406","17.15628","17.09844","0","0","0","14.35504","14.35504","0","0","8.1",
"01.01.2002 08:00:00","-0.022788","0","0.2032032","-10.77669","0","35.98128","-1.581724","12.70305","0","0","0","0","0","12.70305","0","17.03102","17.11654","17.07378","0","0","0","14.94476","14.94476","0","0","8.1",
"01.01.2002 09:00:00","-0.028888","0","0.2007757","-10.5004","0","35.71217","-1.568992","10.75393","0","0","0","0.459377","17.18239","10.75393","0","17.0399","17.25299","17.14645","0","0","0","12.65169","12.65169","0","0","8.225",
"01.01.2002 10:00:00","-0.357501","0","0.190484","-9.106168","0","34.8708","-1.447897","1.594112","0","0","0","2.090169","78.47029","1.594113","0","17.3897","18.12229","17.75599","0","0","0","1.875426","1.875426","0","0","9.1125",
