H1,H2,H3,H4,H5,H6,H7,H8,H9,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,I1,I2,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,P1,P2,S1
246.9561421533,228.7798082535,184.4022147503,154.4314952382,315.6128838257,79.0381152966,71.9099876561,62.823621649,79.164516275,131.5996161004,262.1396153079,216.0317696029,215.3753270775,121.5087097358,78.838001303,84.1722715814,51.1474797086,415.1253547241,104.5277988978,41.1986578735,219.1619431321,163.5814263787,174.4559212883,27.990928331,44.3930459459,43.9915819756,122.8341728738,108.050229621,140.7011849589,48.0874686779,138.9191294462,36.1001913709,282.7590663313
338.1035454418,312.7082993415,251.6767573085,210.8286737054,428.3499392211,107.5372138378,97.8123934021,92.9018452947,112.964736467,169.286228795,358.1275556695,295.5793733743,292.2800995735,165.3782426946,108.5090760298,116.4246701834,70.4539942786,552.1919397103,144.2182948399,55.9367842919,297.7389459783,223.6805567254,240.1494630394,38.1685495486,60.5640059987,60.3053585691,168.4081510199,147.5742873041,194.132197289,65.207898961,189.8401471428,38.9859486492,386.823879185
345.9337186105,318.6134416873,257.7120810942,215.5692660828,441.644448933,113.2981732893,102.7343731854,97.5353640626,117.8832171608,183.439333835,366.1673795371,302.2653837375,304.2453948526,170.8391359259,111.7003118342,120.0840132464,72.184950301,580.0803848498,149.9349195585,58.2546844438,307.3663263986,230.01677937,246.1602126026,39.6637942473,61.9783242915,61.746310463,172.8394343661,151.2447962189,198.3767428877,67.3546347438,195.7761521688,56.4917154043,395.6620591644
289.5034004968,266.1995752498,215.6660422918,180.3835116093,369.4357985903,94.9882240653,86.0061309251,82.2616476248,99.2036424058,156.1157235406,306.1715791641,253.2292928458,254.6021666428,143.0543583286,93.6810510832,100.6055534428,60.568337559,496.3674701692,125.2374704935,49.0217117762,257.3502347058,192.7448326832,205.555981176,33.0910310002,51.954666573,51.8612365891,145.0719549486,126.8735968282,166.2432584473,56.3754795318,164.0244778558,52.2548459003,331.5362967218
207.780229291,189.915162468,154.5944458352,129.6467582318,263.4025725654,67.7979396898,61.3401612443,59.3027989618,71.646437693,113.9648332519,219.4861658954,181.6955943018,182.4232665243,102.7771442488,67.2025832962,72.071164037,43.3332580834,356.9789925705,89.7453973394,35.2224140542,184.9395498169,138.2001631758,147.2748825094,23.7223676194,37.2836934277,37.262098319,103.9594926667,91.0335977242,119.6336565586,40.4863082333,117.2618921174,39.9084130161,238.2154023116
106.1274709768,93.0226220955,77.955405981,66.223945923,129.8024212279,32.1706284626,30.7613468131,29.6415065946,35.9134661866,57.4346276902,110.6521604294,92.9938081072,91.6694189879,51.8800106462,33.7248602835,36.2335657527,21.9065884716,176.6100478324,45.2424032794,17.7123446797,93.8540775025,70.3340835786,74.8207077839,11.9873198189,19.0678543978,18.4029690813,53.1255579003,46.5919988352,61.1600711646,20.4153907961,58.0885551697,20.4984731851,121.7910916046
3.2654606454,3.0239621595,2.4301539674,2.0403339219,4.2542557333,1.1241048963,1.021442613,0.9851405782,1.1860636894,1.9319953128,3.4626227418,2.8613479418,2.9195795049,1.646987468,1.078517011,1.159152213,0.6887983805,5.1895771648,1.4927588906,0.5611429936,2.9365488964,2.1951751685,2.3677437829,0.3833736155,0.5880000582,0.5880000258,1.6396791344,1.4335999642,1.8905601926,0.6500752899,1.8816002162,0.6719979986,3.7486148448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2654606454,3.0239621595,2.4301539674,2.0403339219,4.2542557333,1.1241048963,1.021442613,0.9851405782,1.1860636894,1.9319953128,3.4626227418,2.8613479418,2.9195795049,1.646987468,1.078517011,1.159152213,0.6887983805,5.1889240962,1.4927588906,0.5611429936,2.9365488964,2.1951751685,2.3677437829,0.3833736155,0.5880000582,0.5880000258,1.6396791344,1.4335999642,1.8905601926,0.6500752899,1.8816002162,0.6719979986,3.7486148448
63.6764825861,58.9727728069,47.7174264476,39.7865114774,83.1343299399,21.7146225285,19.547212347,18.8324089834,22.582387478,37.6593493545,67.5211434643,55.7962848643,57.1063796188,31.990875485,20.8300799907,22.3902145359,13.4461283572,94.5031584011,28.7121969316,10.9422883752,57.2677434238,42.8053557411,45.4737771583,7.3906655026,11.4660011357,11.4660005023,31.9737431346,27.9551993011,36.8153012293,12.782155311,36.7337671702,12.9025618915,73.0979894736
120.8220438813,111.3930899274,90.0925143961,75.492355111,156.5294497973,40.681434617,36.6485586919,35.2964347786,42.341931436,70.8082948726,128.1170414451,105.8698738451,107.48291231,60.616777573,39.2400965802,42.1162328966,25.2313007341,179.8072519415,53.8392476462,20.7169186386,108.2154877762,80.7522065739,85.5560194625,13.8822569665,21.7560021549,21.7199683691,60.6681279977,53.0431986739,68.944731655,24.0884894152,69.0379481086,24.2171279045,138.6987492576
146.930648643,134.9381634992,109.4832773597,91.8150264864,189.5527680323,49.3622802406,44.4883289385,42.8563200514,51.4483305246,85.705755753,155.4362490554,128.2892212353,130.2576153622,72.9855908678,47.470783183,51.105950686,30.6162479935,218.2492066658,65.3847306241,25.1959826199,131.4941548577,98.1831294814,103.9313348987,16.8551658906,26.1660025917,26.258651641,73.038960719,63.7951984051,83.8086316609,29.1176047792,83.7911046252,29.381978486,167.313893367
111.025661945,102.5788113567,82.8266106954,69.3713533453,144.0592748521,37.4574171765,33.7573172026,32.5565804206,39.0737930694,65.2493732313,117.7291732198,97.2858300198,98.9193525124,55.7071291756,36.1037660245,38.8356198804,23.2276253871,162.8834093578,49.6270693089,19.0435696478,99.5360572588,74.2635600146,78.6838803218,12.7724561199,19.9920019802,19.9920008758,55.7490905933,48.7423987814,63.8405012213,22.1718635023,63.4939967995,22.3454857198,127.4529047232
104.4947406541,96.697675183,77.981251376,65.2906855014,135.6737662616,35.2732319083,31.7921966678,30.6615114025,36.8082118309,61.4656721062,110.8039277363,91.5631341363,93.1768860539,52.4421786829,33.9982733154,36.6062418848,21.870748615,153.4668738495,46.7408189349,17.930243627,93.729584224,69.9493688247,74.0963421436,12.0303488889,18.8160018637,18.8160008243,52.4697323233,45.8751988531,60.089636096,20.8772110926,59.8009239201,21.0676136826,119.9556750336
91.4328980723,84.6606593733,68.2814690964,57.1293498138,118.9217161966,30.9267140986,27.878120513,26.8752597305,32.2703797651,53.8366377002,96.9534367693,80.1177423693,81.6356995643,45.8886843302,29.7855117538,32.0546268941,19.1704349368,134.8643349004,40.9772140422,15.7120038208,82.0923461371,61.328826403,64.9327810925,10.5667945046,16.4640016307,16.4640007213,45.9110157827,40.1407989965,52.6059535518,18.2832660931,52.4567070586,18.4926648754,104.9612156544
52.2913549032,48.4327247863,39.2248622629,32.6453427507,68.3446193086,17.9704693722,16.1348425756,15.5528876793,18.6788477176,30.96775465,55.415111369,45.7815670682,46.9978002546,26.2703540294,17.1485853974,18.4689718377,11.0532540082,77.5409525716,23.7424894538,9.2006073046,47.009422082,35.2124016821,37.5482447166,6.1110178483,9.4080009318,9.4894286598,26.2348661625,22.9375994266,30.2565424918,10.5294954218,30.1658217913,10.7513679773,59.9778375168
4.8981909682,4.5359432392,3.645230951,3.0605008829,6.3813835999,1.6861573445,1.5321639194,1.4777108674,1.7790955342,2.8979929692,5.1939341126,4.2920219126,4.3793692574,2.470481202,1.6166102837,1.7387283194,1.0331975707,7.4359552394,2.2391383358,0.8417144904,4.4048233446,3.2927627527,3.5424167307,0.5750604233,0.8820000874,0.8820000386,2.4595187016,2.1503999462,2.835840289,0.9751129349,2.8224003242,1.0079969978,5.6229222672
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0618425818,12.0958486833,9.7206158694,8.1613356877,17.0170229331,4.4964195853,4.0230664656,3.870559551,4.6155508353,7.7279812512,13.850490967,11.445391767,11.6783181414,6.5589201748,4.2296385432,4.626536311,2.7551935219,18.7690706672,5.8892431018,2.2445719744,11.7461955856,8.7807006739,9.2890569509,1.5334944621,2.352000233,2.352000103,6.55871654,5.7343998566,7.5622407706,2.6003011597,7.5264008646,2.6879919942,14.9944593792
177.9915501728,165.963915906,133.159548051,111.3911433309,223.5213405914,42.9366731175,38.0654785118,34.9346865095,42.4174511942,90.4924582576,189.3127290163,156.2556205633,152.2311683778,65.3396258346,41.5804569314,44.1060160492,26.6704973153,248.3968982494,55.2417650221,28.6856390537,155.886718157,116.7354360441,116.2278371912,19.7033517038,23.3154612566,23.2167709631,64.7673258319,56.6271985843,73.3248879748,25.3436184344,74.088844741,22.2860172858,174.169246263
295.6240258983,274.5656202748,220.4333022377,184.7972702268,371.6612063517,89.4115756492,82.5004928709,62.1615379622,85.9341600466,140.1217164206,313.5937143265,258.8294819006,250.5701097606,142.9426956457,93.1942118778,99.4476925361,61.5080153341,480.8476799207,118.4199953692,47.4404429811,258.1130860797,193.133657276,207.9168948914,32.6898312479,52.9893824897,52.7257722247,147.2164781494,129.0239967744,168.4188421026,56.8571743751,162.3015973488,24.5940670293,338.4550216617
365.909424347,338.9976857209,272.3361704448,228.1819061357,462.5799323051,115.375503614,105.1835489712,99.9381492234,121.7927964534,179.3546924114,387.7237521315,319.9263133786,314.89798908,178.4946925546,117.3325928774,125.9468332842,76.3530203699,587.2510343767,155.2223384382,60.1509989108,321.2969200775,241.5935473706,260.1065860803,41.1781674685,65.5620064938,65.3224386494,182.4312775878,159.7747726954,210.3806950834,70.3458577063,204.9635232753,37.8461375354,418.739370173
363.1132863473,334.6543122253,270.5016838888,226.1374729566,463.3276319812,118.7543005953,107.7418275108,102.2429139642,123.6168153858,191.8271552607,384.3510110003,317.4814929238,319.2146755733,179.1158767675,117.3579072232,126.0606598418,75.8042217856,605.6024500523,157.184645021,60.961413193,322.7467588238,241.3420347789,258.4116308525,41.6202550383,65.1769156791,64.8609189771,181.4392290024,159.0320243299,208.3215465654,70.5840877235,205.4290914654,58.6667698915,414.9269321327
358.5163089889,330.1444136818,266.7336893194,223.5320710006,453.7523632639,113.6978671517,103.8469239511,99.1983015951,119.9336607661,176.700387724,379.5264288463,313.7550458162,310.9540598766,175.6346540396,115.580634414,124.3258621332,75.2285430641,585.8262806794,150.6892561978,59.2596023796,315.9139031438,236.7002693871,254.7304934933,40.4171261256,64.4361893022,64.3430977442,179.7120009588,157.0826187706,206.7927075458,68.2264380722,200.524422588,58.470442324,410.7712170615
278.2515167415,251.3037399309,206.7518841651,173.5686855986,343.741844563,85.2767102684,78.2925437252,76.3671866826,92.8423771783,135.4546143154,293.9998693246,243.2851520921,237.882400813,135.5936390474,89.1122345814,96.1094648002,58.2818629529,457.1579467392,115.075452977,45.3096493662,243.915347601,182.4739569212,196.3580758143,31.0009455622,49.9817355974,49.7195529219,139.5428563526,121.9813344949,160.9135951058,52.0798491231,153.2423697353,51.1355438843,318.8235691262
147.0107136658,124.3837667997,107.6196548034,91.5720594163,172.618378389,40.8409150464,41.6141870603,40.0573164611,48.5382908326,74.8089782838,152.7202016693,128.7606573792,124.6488304731,71.290959539,46.3685045835,50.0286258472,30.5804080546,236.2366287333,61.2673422402,23.8538603122,128.4307018672,96.5479453977,103.6386081786,16.4131164075,26.4178551258,25.0268766087,73.632126702,64.5119983872,85.0696863212,27.5711865324,78.5335789067,28.1171300004,168.6487771646
3.2654606454,3.0239621595,2.4301539674,2.0403339219,4.2542557333,1.1241048963,1.021442613,0.9851405782,1.1860636894,1.9319953128,3.4626227418,2.8613479418,2.9195795049,1.646987468,1.078517011,1.159152213,0.6887983805,5.1895771648,1.4927588906,0.5611429936,2.9365488964,2.1951751685,2.3677437829,0.3833736155,0.5880000582,0.5880000258,1.6396791344,1.4335999642,1.8905601926,0.6500752899,1.8816002162,0.6719979986,3.7486148448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0618425818,12.0958486833,9.7206158694,8.1613356877,17.0170229331,4.4964195853,4.0230664656,3.870559551,4.6155508353,7.7279812512,13.850490967,11.445391767,11.6783181414,6.5589201748,4.2296385432,4.626536311,2.7551935219,18.7690706672,5.8892431018,2.2445719744,11.7461955856,8.7807006739,9.2890569509,1.5334944621,2.352000233,2.352000103,6.55871654,5.7343998566,7.5622407706,2.6003011597,7.5264008646,2.6879919942,14.9944593792
196.9205072145,183.1386100977,147.0662774605,123.0959205454,245.9365080094,45.837153264,40.5370192668,37.0790688335,45.1414748081,98.8535095738,208.7718698761,172.4840585373,167.2685385176,69.668242686,44.213139418,47.0768816106,28.4927329484,264.9257077645,58.7581193181,31.4099838528,171.4296404781,128.5634814526,127.63897608,21.6847888062,24.7923992971,24.6960010819,69.0956459093,60.4079057053,78.0637084724,26.9981271291,78.736425735,23.4235674966,189.0263402854
380.5713079605,354.3207027431,283.744907507,238.012620869,474.7024635438,111.9652786274,104.2074571591,71.0619382749,105.1176272765,168.648010286,403.7361369994,333.347035215,317.6833466542,182.8973692773,119.4084008617,127.9644314144,79.9078919968,596.5734123944,148.4464565926,59.5631270836,329.1408222712,246.6278846875,267.5900930304,41.5438368951,68.502006785,68.2901033808,190.3187764462,166.8425993612,217.5745098078,73.1054747724,206.2480600186,18.443531862,436.5440699917
507.1221108145,470.3922867764,377.1322744062,316.3205669954,635.9182099032,155.3419287846,142.753184532,135.9117924808,166.8738890974,228.9769397507,537.1680208401,443.5879609022,429.9738134656,245.469946213,162.329049423,174.7418813207,106.5744692622,752.2514309598,211.5646366254,81.3422364546,440.9603524448,332.1618132045,361.169659625,56.418188577,91.1400090272,90.9473697166,253.6792480271,222.11424641,293.113339974,96.7067163373,281.4158317723,30.9058827689,581.2415072386
546.975343245,506.6821052499,406.9714665201,341.4175679695,690.3181716682,171.6999770254,157.952957363,147.8210601566,180.5104193771,250.061332766,579.8681131757,479.1048558374,472.8765505453,266.705581735,176.4945910678,189.9372254506,115.0506093251,805.3664757914,228.2201616201,88.6133312523,480.8716430545,360.4359889234,391.9771750406,62.130760888,98.4596809924,98.2109073865,274.0264122251,240.0285206782,316.3158794662,103.6905312934,305.3203263578,61.8698021738,627.0579091946
461.7735250486,425.7518214903,343.1871581393,288.0335381263,581.02662226,142.3449679025,131.0327553058,125.123887523,151.5429203271,211.3216819806,488.7796209654,404.0486380644,395.6561346568,224.6466353908,148.3960375111,159.9125687197,97.1037715071,710.5904328107,189.7620959018,74.7523378442,403.4195978633,302.5180242806,328.0311273618,51.4117373179,82.9580410854,82.9150199293,231.3654952853,202.1375949466,267.1374020986,86.3482769223,255.4283749158,69.2638093666,529.1655925646
359.198690475,321.8461702379,266.8595817922,224.2495080381,435.130343293,103.9445682296,96.8968341527,95.260817806,116.3816881847,156.2136958844,379.6729678778,314.7482735936,300.1939648751,172.933582593,113.9611089585,123.7503416173,75.5231023036,552.6473770664,143.340603415,56.3346664815,309.9232872058,232.8097358429,252.2527230877,39.1362236854,64.6800064064,64.0944281079,180.2001363569,157.594085936,208.7694302221,64.9472807693,193.4746658522,63.6626321279,411.998853084
189.4415705101,158.8446010484,139.0207095928,118.0874923715,220.2327646876,51.4235077082,53.3638281736,51.417469661,62.2424021352,94.9650655414,196.2868024583,165.9581806221,159.6755695208,91.6406585242,59.5037185165,64.5776625379,39.5874268849,295.4718547351,78.6895199854,30.4889763158,165.0333512452,124.0934724758,133.6119280647,21.0586350016,34.0618558829,32.0814198583,94.9457264524,83.1487979213,109.8581980014,35.2846997384,100.735059866,36.2790184288,217.380770147
16.3273032272,15.1198108468,12.1507698368,10.2016696096,21.2712786664,5.6205244816,4.9334528292,4.7539283876,5.7031086806,9.647070613,17.3131137088,14.3067397088,14.5978976464,8.1770771774,5.2672758124,5.7329513254,3.4439919024,23.6197067865,7.3151107327,2.805714968,14.682744482,10.9758758424,11.551678749,1.9129480776,2.9400002912,2.9400001288,8.1983956752,7.1679998208,9.4528009632,3.2503764496,9.4080010808,3.3599899928,18.743074224
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2654606454,3.0239621595,2.4301539674,2.0403339219,4.2542557333,1.1241048963,1.021442613,0.9851405782,1.1860636894,1.9319953128,3.4626227418,2.8613479418,2.9195795049,1.646987468,1.078517011,1.159152213,0.6887983805,5.1889240962,1.4927588906,0.5611429936,2.9365488964,2.1951751685,2.3677437829,0.3833736155,0.5880000582,0.5880000258,1.6396791344,1.4335999642,1.8905601926,0.6500752899,1.8816002162,0.6719979986,3.7486148448
50.4639662957,45.655282712,37.2795261412,31.6251757898,64.2196963352,16.8615734448,15.1589065897,14.5977747412,17.5312047932,29.0770368252,52.7852117201,43.5412022371,44.2520742853,24.6430254207,16.0944024735,17.3805866175,10.3801356064,72.5257438892,22.3020869943,8.6405843216,44.8095457135,33.2557839466,35.2845507997,5.7394042328,8.8200008736,8.9188950542,24.6634356186,21.5039994624,28.365743644,9.8830855777,28.350281713,10.0799699784,56.5774312404
91.4328980723,84.6629441626,68.3061831088,57.1293498138,118.9313472049,30.9154088762,27.8779855402,26.8608841161,32.2406659602,53.8273957385,96.9534367693,80.1177423693,81.6308829404,45.8962483711,29.7843457453,32.0391725987,19.176594929,134.5247406905,40.9511801507,15.7120038208,82.0896694659,61.3277064198,64.9151439037,10.5560257158,16.4640016307,16.4640007213,45.9110157827,40.1407989965,52.5605769231,18.2795354482,52.544857391,18.472391093,104.9612156544
122.454774204,112.8965031264,91.3042501577,76.512522072,158.6895492123,41.2693874751,37.179056236,35.8200841068,42.9944092536,71.8369794234,129.848352816,107.300547816,108.9586052715,61.4371965004,39.7801445546,42.7371430321,25.5880199098,180.5078237082,54.6353117436,20.9986101422,109.6893287846,81.8492341386,86.7107561606,14.0722637742,22.050002184,22.0369397046,61.4879675659,53.759998656,70.0980953882,24.4287997974,69.9589383455,24.5987267865,140.57305668
133.883886463,123.3630746693,99.7818603354,83.6536907987,173.256819685,45.061445198,40.5954376178,39.1399307471,46.9740338127,78.3880349375,141.9468025819,117.3152656122,119.0399864222,66.984324209,43.4709758112,46.6518836935,27.9439343299,197.6189284339,59.6763139997,22.9564506494,119.8734335096,89.4925876992,94.7665251775,15.3765514286,24.0293926566,24.039875622,67.2268445388,58.7775985306,76.3648381059,26.6936778276,76.4233661901,26.8807089174,153.6932086368
